,gsis_unq,wk1_depth,gsis_id,cleaned_name_yahoo,player_key,primary_position,season,gs_unq,bye_weeks.week,player_points.total,recent_team,games,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,pacr,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,misc_yards,penalties,penalty_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,def_points_allowed,def_plays_against,def_yds_per_play,def_takeaways,def_cmp_against,def_pass_attempts_against,def_passing_allowed,def_passing_td_allowed,def_passing_ny_attempt,def_passing_1st,def_rushing_attamepts_against,def_rushing_allowed,def_rushing_td_allowed,def_rushing_ny_attempt,def_rushing_1st,def_penalties,def_penalty_yds,def_penalty_1st,def_scoring_drives%,def_TO_drives%,def_exp_pts,def_season,def_3Datt,def_3D%,def_4Datt,def_4D%,def_rz_att,def_rz%,team,def_special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_safeties,def_misc_yards,def_fumble_recovery_opp,def_fumble_recovery_yards_opp,def_fumble_recovery_tds,def_punt_returns,def_punt_return_yards,def_kickoff_returns,def_kickoff_return_yards,HC,OC,DC,eos_depth
6786,arizona cardinals_2014,99.0,Arizona Cardinals,arizona cardinals,331.p.100022,DEF,2014,arizona cardinals_2014,4,213.88,arizona cardinals,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,299,1010,5.8,25,365,579,4152,22,6.8,195,396,1739,9,4.4,77,130,1192,28,0.298,0.128,-9.75,2014,215,0.377,13,0.385,41,0.439,arizona cardinals,1,710,51,161,82,361,9,35,244,83,18,321,62,3,0,62,7,7,1,26,277,22,417,bruce arians,harold goodwin,todd bowles,99
6787,arizona cardinals_2015,99.0,Arizona Cardinals,arizona cardinals,348.p.100022,DEF,2015,arizona cardinals_2015,9,253.68,arizona cardinals,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,313,982,5.2,33,343,573,3687,24,6.1,177,373,1460,9,3.9,79,130,1202,28,0.317,0.1669999999999999,34.93,2015,210,0.357,17,0.471,47,0.5529999999999999,arizona cardinals,1,707,35,151,86,348,22,35,258,107,19,263,69,4,2,0,14,14,2,39,289,32,770,bruce arians,harold goodwin,james bettcher,99
6788,arizona cardinals_2016,99.0,Arizona Cardinals,arizona cardinals,359.p.100022,DEF,2016,arizona cardinals_2016,9,235.98,arizona cardinals,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,362,1019,4.8,28,344,547,3365,21,5.7,175,424,1518,16,3.6,90,123,1010,28,0.325,0.129,81.68,2016,219,0.3879999999999999,15,0.467,45,0.556,arizona cardinals,0,728,31,199,103,436,21,46,360,103,14,263,68,2,2,0,14,14,1,38,230,25,544,bruce arians,harold goodwin,james bettcher,99
6789,arizona cardinals_2017,99.0,Arizona Cardinals,arizona cardinals,371.p.100022,DEF,2017,arizona cardinals_2017,8,216.85,arizona cardinals,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,361,1008,4.9,21,343,564,3541,24,5.9,187,407,1432,12,3.5,68,129,1128,28,0.315,0.105,143.08,2017,224,0.357,16,0.4379999999999999,46,0.5870000000000001,arizona cardinals,0,730,32,198,84,372,17,37,255,96,15,258,74,1,0,0,6,6,1,41,288,29,592,bruce arians,harold goodwin,james bettcher,99
6790,arizona cardinals_2018,99.0,Arizona Cardinals,arizona cardinals,380.p.100022,DEF,2018,arizona cardinals_2018,9,181.37,arizona cardinals,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,425,1065,5.4,16,342,506,3262,21,5.9,186,510,2479,25,4.9,139,100,790,32,0.38,0.086,-85.72,2018,205,0.38,13,0.615,53,0.623,arizona cardinals,1,771,60,246,85,360,13,49,333,90,7,55,52,0,0,0,9,9,2,36,295,25,536,steve wilks,mike mccoy,al holcomb,99
6791,arizona cardinals_2019,99.0,Arizona Cardinals,arizona cardinals,390.p.100022,DEF,2019,arizona cardinals_2019,12,118.39,arizona cardinals,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,442,1080,6.0,17,421,601,4510,38,7.0,243,439,1922,9,4.4,94,114,1041,38,0.43,0.093,-173.55,2019,214,0.467,14,0.214,62,0.597,arizona cardinals,0,714,62,342,81,322,19,40,275,91,7,82,56,0,0,0,10,10,0,24,168,36,764,kliff kingsbury,kliff kingsbury,vance joseph,99
6792,arizona cardinals_2020,99.0,Arizona Cardinals,arizona cardinals,399.p.100022,DEF,2020,arizona cardinals_2020,8,189.97,arizona cardinals,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,367,1054,5.3,21,365,570,3623,26,5.9,207,436,2008,13,4.6,118,104,841,38,0.372,0.105,-82.04,2020,202,0.396,21,0.667,56,0.518,arizona cardinals,0,689,55,297,80,391,15,48,326,100,11,129,57,0,1,5,10,10,0,25,136,24,525,kliff kingsbury,kliff kingsbury,vance joseph,99
6793,arizona cardinals_2021,99.0,Arizona Cardinals,arizona cardinals,406.p.100022,DEF,2021,arizona cardinals_2021,12,217.98,arizona cardinals,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,366,1028,5.4,27,367,561,3645,30,6.1,192,426,1952,10,4.6,109,100,896,35,0.356,0.153,-19.46,2021,207,0.382,30,0.467,51,0.608,arizona cardinals,0,623,80,358,64,259,21,40,227,101,13,247,73,1,0,0,14,14,1,26,238,29,611,kliff kingsbury,kliff kingsbury,vance joseph,99
6794,arizona cardinals_2022,99.0,Arizona Cardinals,arizona cardinals,414.p.100022,DEF,2022,arizona cardinals_2022,13,182.25,arizona cardinals,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,449,1075,5.5,20,414,593,3915,29,6.2,218,446,2016,21,4.5,124,94,757,21,0.416,0.105,-81.73,2022,203,0.429,16,0.5,66,0.652,arizona cardinals,0,618,128,402,71,331,12,36,266,106,11,246,77,3,0,0,9,9,2,35,289,31,686,kliff kingsbury,kliff kingsbury,vance joseph,99
6795,arizona cardinals_2023,99.0,Arizona Cardinals,arizona cardinals,423.p.100022,DEF,2023,arizona cardinals_2023,14,117.0,arizona cardinals,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,455,1060,5.7,17,347,506,3613,32,6.7,198,521,2434,19,4.7,141,92,765,30,0.44,0.086,-160.5,2023,205,0.473,15,0.467,71,0.606,arizona cardinals,0,605,126,420,64,288,6,33,233,59,11,98,66,0,0,0,6,6,1,31,286,18,382,jonathan gannon,drew petzing,nick rallis,99
