name,week,manager,team_id,position,roster_position,points,2-PT,3 and Outs,4 Dwn Stops,40 Yd Pass TD,40 Yd Rush,40 Yd Rush TD,Blk Kick,Comp,Def Yds Allow,FG Yds,FGM 0-19,FGM 20-29,Fum Lost,Fum Rec,Fum Ret TD,Inc,Int,PAT Made,PAT Miss,Pass 1st Downs,Pass TD,Pass Yds,Pick Six,Pts Allow,Pts Allow 0,Pts Allow 1-6,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allow 35+,Pts Allow 7-13,Rec,Rec TD,Rec Yds,Ret TD,Ret Yds,Rush Att,Rush TD,Rush Yds,Sack,Safe,TD,TFL,Targets,XPR,Yds Allow 0-99,Yds Allow 100-199,Yds Allow 200-299,Yds Allow 300-399,Yds Allow 400-499,Yds Allow 500+,Yds Allow Neg
Jalen Hurts,1,Nick,461.l.254906.t.1,QB,QB,26.28,0,,,0,0,0,,19,,,,,0,,0,4,0,,,6,0,152,0,,,,,,,,,0,0,0,,,14,2,62,1,,,,0,,,,,,,,
Malik Nabers,1,Nick,461.l.254906.t.1,WR,WR,12.1,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,5,0,71,,,0,0,0,0,,,,12,,,,,,,,
Drake London,1,Nick,461.l.254906.t.1,WR,WR,13.5,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,8,0,55,,,0,0,0,0,,,,15,,,,,,,,
Tony Pollard,1,Nick,461.l.254906.t.1,RB,RB,7.9,0,,,0,0,0,,0,,,,,1,,0,0,0,,,0,0,0,0,,,,,,,,,1,0,29,,,18,0,60,0,,,,1,,,,,,,,
Kaleb Johnson,1,Nick,461.l.254906.t.1,RB,RB,-0.2,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,0,0,0,,,1,0,-2,0,,,,0,,,,,,,,
Evan Engram,1,Nick,461.l.254906.t.1,TE,TE,5.1,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,3,0,21,,,0,0,0,0,,,,4,,,,,,,,
Amon-Ra St. Brown,1,Nick,461.l.254906.t.1,WR,W/R/T,8.5,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,4,0,45,,,0,0,0,0,,,,6,,,,,,,,
Rashee Rice,1,Nick,461.l.254906.t.1,WR,BN,0.0,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,0,0,0,,,0,0,0,0,,,,0,,,,,,,,
Cam Skattebo,1,Nick,461.l.254906.t.1,RB,BN,2.9,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,2,0,12,,,2,0,-3,0,,,,2,,,,,,,,
Trey Benson,1,Nick,461.l.254906.t.1,RB,BN,9.0,0,,,0,1,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,1,0,6,,,8,0,69,0,,,,1,,,,,,,,
Zach Ertz,1,Nick,461.l.254906.t.1,TE,BN,11.6,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,3,1,26,,,0,0,0,0,,,,5,,,,,,,,
Rashod Bateman,1,Nick,461.l.254906.t.1,WR,BN,3.0,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,2,0,10,,,0,0,0,0,,,,4,,,,,,,,
