,player.bye_weeks.week,player.display_position,player.editorial_player_key,player.editorial_team_abbr,player.editorial_team_full_name,player.editorial_team_key,player.editorial_team_url,player.eligible_positions,player.eligible_positions_to_add,player.has_player_notes,player.headshot.size,player.headshot.url,player.image_url,player.is_keeper.status,player.is_keeper.cost,player.is_keeper.kept,player.is_undroppable,player.name.ascii_first,player.name.ascii_last,player.name.first,player.name.full,player.name.last,player.player_id,player.player_key,player.player_notes_last_timestamp,player.position_type,player.primary_position,player.uniform_number,player.url,player.status,player.status_full,player.has_recent_player_notes,player.injury_note
0,9,QB,nfl.p.7200,Pit,Pittsburgh Steelers,nfl.t.23,https://sports.yahoo.com/nfl/teams/pittsburgh/,['QB'],,1.0,small,https://s.yimg.com/iu/api/res/1.2/Oj.vpAoZybhxtVc2aGTr6A--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08202025/7200.png,https://s.yimg.com/iu/api/res/1.2/Oj.vpAoZybhxtVc2aGTr6A--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08202025/7200.png,False,False,False,0,Aaron,Rodgers,Aaron,Aaron Rodgers,Rodgers,7200,449.p.7200,1760674194.0,O,QB,8,https://sports.yahoo.com/nfl/players/7200,,,,
1,7,TE,nfl.p.7777,Chi,Chicago Bears,nfl.t.3,https://sports.yahoo.com/nfl/teams/chicago/,['TE'],,,small,https://s.yimg.com/iu/api/res/1.2/aou5CR6EOCjzKnUqb7I54Q--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08302022/7777.png,https://s.yimg.com/iu/api/res/1.2/aou5CR6EOCjzKnUqb7I54Q--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08302022/7777.png,False,False,False,0,Marcedes,Lewis,Marcedes,Marcedes Lewis,Lewis,7777,449.p.7777,,O,TE,,https://sports.yahoo.com/nfl/players/7777,NA,Inactive: Coach's Decision or Not on Roster,,
2,12,K,nfl.p.8432,NYJ,New York Jets,nfl.t.20,https://sports.yahoo.com/nfl/teams/ny-jets/,['K'],,1.0,small,https://s.yimg.com/iu/api/res/1.2/3.sAZrKS11dC4vZsvKDryQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/09182025/8432.png,https://s.yimg.com/iu/api/res/1.2/3.sAZrKS11dC4vZsvKDryQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/09182025/8432.png,False,False,False,0,Nick,Folk,Nick,Nick Folk,Folk,8432,449.p.8432,1760926894.0,K,K,6,https://sports.yahoo.com/nfl/players/8432,Q,Questionable,1.0,Abdomen
3,11,K,nfl.p.8447,NYG,New York Giants,nfl.t.19,https://sports.yahoo.com/nfl/teams/ny-giants/,['K'],,,small,https://s.yimg.com/iu/api/res/1.2/6100M2QAnj78iWp41Htunw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08302022/8447.png,https://s.yimg.com/iu/api/res/1.2/6100M2QAnj78iWp41Htunw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08302022/8447.png,False,False,False,0,Mason,Crosby,Mason,Mason Crosby,Crosby,8447,449.p.8447,,K,K,,https://sports.yahoo.com/nfl/players/8447,NA,Inactive: Coach's Decision or Not on Roster,,
4,12,K,nfl.p.8565,Buf,Buffalo Bills,nfl.t.2,https://sports.yahoo.com/nfl/teams/buffalo/,['K'],,1.0,small,https://s.yimg.com/iu/api/res/1.2/0A0dIdoRxUxO24TwNjQSyw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/09172025/8565.png,https://s.yimg.com/iu/api/res/1.2/0A0dIdoRxUxO24TwNjQSyw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/09172025/8565.png,False,False,False,0,Matt,Prater,Matt,Matt Prater,Prater,8565,449.p.8565,1760409146.0,K,K,15,https://sports.yahoo.com/nfl/players/8565,Q,Questionable,,Knee - Meniscus
5,12,QB,nfl.p.8795,Cin,Cincinnati Bengals,nfl.t.4,https://sports.yahoo.com/nfl/teams/cincinnati/,['QB'],,1.0,small,https://s.yimg.com/iu/api/res/1.2/vhO8VjyUIfV6JbmctwCrag--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/10072025/8795.png,https://s.yimg.com/iu/api/res/1.2/vhO8VjyUIfV6JbmctwCrag--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/10072025/8795.png,False,False,False,0,Joe,Flacco,Joe,Joe Flacco,Flacco,8795,449.p.8795,1760673794.0,O,QB,16,https://sports.yahoo.com/nfl/players/8795,,,,
6,14,QB,nfl.p.8937,Was,Washington Commanders,nfl.t.28,https://sports.yahoo.com/nfl/teams/washington/,['QB'],,1.0,small,https://s.yimg.com/iu/api/res/1.2/X_y5cj5wN2QCZqg_UWg4eA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/09102025/8937.png,https://s.yimg.com/iu/api/res/1.2/X_y5cj5wN2QCZqg_UWg4eA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/09102025/8937.png,False,False,False,0,Josh,Johnson,Josh,Josh Johnson,Johnson,8937,449.p.8937,1760900724.0,O,QB,14,https://sports.yahoo.com/nfl/players/8937,,,,
7,6,QB,nfl.p.9265,LAR,Los Angeles Rams,nfl.t.14,https://sports.yahoo.com/nfl/teams/la-rams/,['QB'],,1.0,small,https://s.yimg.com/iu/api/res/1.2/D1yOOqEAShgd8mG3kr3dWA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08252025/9265.png,https://s.yimg.com/iu/api/res/1.2/D1yOOqEAShgd8mG3kr3dWA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08252025/9265.png,False,False,False,0,Matthew,Stafford,Matthew,Matthew Stafford,Stafford,9265,449.p.9265,1760894480.0,O,QB,9,https://sports.yahoo.com/nfl/players/9265,,,,
8,11,K,nfl.p.9526,NYG,New York Giants,nfl.t.19,https://sports.yahoo.com/nfl/teams/ny-giants/,['K'],,,small,https://s.yimg.com/iu/api/res/1.2/tH7k05Btg4H5Oi0smFGdyg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/09082025/9526.png,https://s.yimg.com/iu/api/res/1.2/tH7k05Btg4H5Oi0smFGdyg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/09082025/9526.png,False,False,False,0,Graham,Gano,Graham,Graham Gano,Gano,9526,449.p.9526,,K,K,9,https://sports.yahoo.com/nfl/players/9526,NA,Inactive: Coach's Decision or Not on Roster,,
9,12,TE,nfl.p.24070,NO,New Orleans Saints,nfl.t.18,https://sports.yahoo.com/nfl/teams/new-orleans/,['TE'],,,small,https://s.yimg.com/iu/api/res/1.2/jhghqaZM4.S6kXPF.OuyWw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/09182023/24070.png,https://s.yimg.com/iu/api/res/1.2/jhghqaZM4.S6kXPF.OuyWw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/09182023/24070.png,False,False,False,0,Jimmy,Graham,Jimmy,Jimmy Graham,Graham,24070,449.p.24070,,O,TE,,https://sports.yahoo.com/nfl/players/24070,NA,Inactive: Coach's Decision or Not on Roster,,
10,5,WR,nfl.p.24793,Phi,Philadelphia Eagles,nfl.t.21,https://sports.yahoo.com/nfl/teams/philadelphia/,['WR'],,,small,https://s.yimg.com/iu/api/res/1.2/_4JFzT5nAcZXSiUIEWsLXg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/10172023/24793.png,https://s.yimg.com/iu/api/res/1.2/_4JFzT5nAcZXSiUIEWsLXg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/10172023/24793.png,False,False,False,0,Julio,Jones,Julio,Julio Jones,Jones,24793,449.p.24793,,O,WR,,https://sports.yahoo.com/nfl/players/24793,NA,Inactive: Coach's Decision or Not on Roster,,Concussion
11,6,QB,nfl.p.24797,KC,Kansas City Chiefs,nfl.t.12,https://sports.yahoo.com/nfl/teams/kansas-city/,['QB'],,,small,https://s.yimg.com/iu/api/res/1.2/FWM75yMSLdJIMoE8tK10Zg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/09082022/24797.png,https://s.yimg.com/iu/api/res/1.2/FWM75yMSLdJIMoE8tK10Zg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/09082022/24797.png,False,False,False,0,Blaine,Gabbert,Blaine,Blaine Gabbert,Gabbert,24797,449.p.24797,,O,QB,,https://sports.yahoo.com/nfl/players/24797,NA,Inactive: Coach's Decision or Not on Roster,,
12,11,QB,nfl.p.24822,Car,Carolina Panthers,nfl.t.29,https://sports.yahoo.com/nfl/teams/carolina/,['QB'],,1.0,small,https://s.yimg.com/iu/api/res/1.2/pcBuBhWyQpljJZWMXlpcNQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/07302025/24822.png,https://s.yimg.com/iu/api/res/1.2/pcBuBhWyQpljJZWMXlpcNQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/07302025/24822.png,False,False,False,0,Andy,Dalton,Andy,Andy Dalton,Dalton,24822,449.p.24822,1760975500.0,O,QB,14,https://sports.yahoo.com/nfl/players/24822,,,1.0,
13,12,WR,nfl.p.24851,NYJ,New York Jets,nfl.t.20,https://sports.yahoo.com/nfl/teams/ny-jets/,['WR'],,,small,https://s.yimg.com/iu/api/res/1.2/BXzc3sSm8TjpbuICfEfzRA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08022023/24851.png,https://s.yimg.com/iu/api/res/1.2/BXzc3sSm8TjpbuICfEfzRA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08022023/24851.png,False,False,False,0,Randall,Cobb,Randall,Randall Cobb,Cobb,24851,449.p.24851,,O,WR,,https://sports.yahoo.com/nfl/players/24851,NA,Inactive: Coach's Decision or Not on Roster,,
14,12,QB,nfl.p.24967,NYJ,New York Jets,nfl.t.20,https://sports.yahoo.com/nfl/teams/ny-jets/,['QB'],,1.0,small,https://s.yimg.com/iu/api/res/1.2/a8beKT_x.nGGQ_xj26.CmA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08292025/24967.png,https://s.yimg.com/iu/api/res/1.2/a8beKT_x.nGGQ_xj26.CmA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08292025/24967.png,False,False,False,0,Tyrod,Taylor,Tyrod,Tyrod Taylor,Taylor,24967,449.p.24967,1760929864.0,O,QB,2,https://sports.yahoo.com/nfl/players/24967,,,1.0,
15,5,QB,nfl.p.25718,Ten,Tennessee Titans,nfl.t.10,https://sports.yahoo.com/nfl/teams/tennessee/,['QB'],,,small,https://s.yimg.com/iu/api/res/1.2/aFjZsGSxbeh44ypQYfc6NQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08182023/25718.png,https://s.yimg.com/iu/api/res/1.2/aFjZsGSxbeh44ypQYfc6NQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08182023/25718.png,False,False,False,0,Ryan,Tannehill,Ryan,Ryan Tannehill,Tannehill,25718,449.p.25718,,O,QB,,https://sports.yahoo.com/nfl/players/25718,NA,Inactive: Coach's Decision or Not on Roster,,
16,11,QB,nfl.p.25785,NYG,New York Giants,nfl.t.19,https://sports.yahoo.com/nfl/teams/ny-giants/,['QB'],,,small,https://s.yimg.com/iu/api/res/1.2/IAJ5NuvKMwhiESEEmDR_LA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/09082025/25785.png,https://s.yimg.com/iu/api/res/1.2/IAJ5NuvKMwhiESEEmDR_LA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/09082025/25785.png,False,False,False,0,Russell,Wilson,Russell,Russell Wilson,Wilson,25785,449.p.25785,,O,QB,3,https://sports.yahoo.com/nfl/players/25785,,,,
17,12,QB,nfl.p.25812,Atl,Atlanta Falcons,nfl.t.1,https://sports.yahoo.com/nfl/teams/atlanta/,['QB'],,,small,https://s.yimg.com/iu/api/res/1.2/AI5jJpWCcspmhIMd6rK4zA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/03262024/25812.png,https://s.yimg.com/iu/api/res/1.2/AI5jJpWCcspmhIMd6rK4zA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/03262024/25812.png,False,False,False,0,Kirk,Cousins,Kirk,Kirk Cousins,Cousins,25812,449.p.25812,,O,QB,18,https://sports.yahoo.com/nfl/players/25812,,,,
18,11,K,nfl.p.25871,NYG,New York Giants,nfl.t.19,https://sports.yahoo.com/nfl/teams/ny-giants/,['K'],,,small,https://s.yimg.com/iu/api/res/1.2/ypVBsbiRVtsfBjr3aFUMlw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/09092022/25871.png,https://s.yimg.com/iu/api/res/1.2/ypVBsbiRVtsfBjr3aFUMlw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/09092022/25871.png,False,False,False,0,Randy,Bullock,Randy,Randy Bullock,Bullock,25871,449.p.25871,,K,K,,https://sports.yahoo.com/nfl/players/25871,NA,Inactive: Coach's Decision or Not on Roster,,
19,12,K,nfl.p.25881,NYJ,New York Jets,nfl.t.20,https://sports.yahoo.com/nfl/teams/ny-jets/,['K'],,,small,https://s.yimg.com/iu/api/res/1.2/v6JA0sVA3yJE9gnBG.q1Fw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/09092024/25881.png,https://s.yimg.com/iu/api/res/1.2/v6JA0sVA3yJE9gnBG.q1Fw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/09092024/25881.png,False,False,False,0,Greg,Zuerlein,Greg,Greg Zuerlein,Zuerlein,25881,449.p.25881,,K,K,,https://sports.yahoo.com/nfl/players/25881,NA,Inactive: Coach's Decision or Not on Roster,,Knee
20,10,RB,nfl.p.26389,LV,Las Vegas Raiders,nfl.t.13,https://sports.yahoo.com/nfl/teams/las-vegas/,['RB'],,,small,https://s.yimg.com/iu/api/res/1.2/spbqG7LEhsLktb2xHJbIoQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08292023/26389.png,https://s.yimg.com/iu/api/res/1.2/spbqG7LEhsLktb2xHJbIoQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08292023/26389.png,False,False,False,0,Brandon,Bolden,Brandon,Brandon Bolden,Bolden,26389,449.p.26389,,O,RB,,https://sports.yahoo.com/nfl/players/26389,NA,Inactive: Coach's Decision or Not on Roster,,
