,dict.player.bye_weeks.week,dict.player.display_position,dict.player.editorial_player_key,dict.player.editorial_team_abbr,dict.player.editorial_team_full_name,dict.player.editorial_team_key,dict.player.editorial_team_url,dict.player.eligible_positions,dict.player.eligible_positions_to_add,dict.player.has_player_notes,dict.player.headshot.size,dict.player.headshot.url,dict.player.image_url,dict.player.is_keeper.status,dict.player.is_keeper.cost,dict.player.is_keeper.kept,dict.player.is_undroppable,dict.player.name.ascii_first,dict.player.name.ascii_last,dict.player.name.first,dict.player.name.full,dict.player.name.last,dict.player.player_id,dict.player.player_key,dict.player.player_notes_last_timestamp,dict.player.position_type,dict.player.primary_position,dict.player.uniform_number,dict.player.url,dict.player.status,dict.player.status_full,dict.player.injury_note,player.bye_weeks.week,player.display_position,player.editorial_player_key,player.editorial_team_abbr,player.editorial_team_full_name,player.editorial_team_key,player.editorial_team_url,player.eligible_positions,player.eligible_positions_to_add,player.has_player_notes,player.headshot.size,player.headshot.url,player.image_url,player.injury_note,player.is_keeper.status,player.is_keeper.cost,player.is_keeper.kept,player.is_undroppable,player.name.ascii_first,player.name.ascii_last,player.name.first,player.name.full,player.name.last,player.player_id,player.player_key,player.player_notes_last_timestamp,player.position_type,player.primary_position,player.status,player.status_full,player.uniform_number,player.url,player.has_recent_player_notes
0,5.0,QB,nfl.p.7200,Pit,Pittsburgh Steelers,nfl.t.23,https://sports.yahoo.com/nfl/teams/pittsburgh/,['QB'],,1.0,small,https://s.yimg.com/iu/api/res/1.2/Oj.vpAoZybhxtVc2aGTr6A--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08202025/7200.png,https://s.yimg.com/iu/api/res/1.2/Oj.vpAoZybhxtVc2aGTr6A--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08202025/7200.png,False,False,False,0.0,Aaron,Rodgers,Aaron,Aaron Rodgers,Rodgers,7200.0,461.p.7200,1760674194.0,O,QB,8.0,https://sports.yahoo.com/nfl/players/7200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5.0,TE,nfl.p.7777,Chi,Chicago Bears,nfl.t.3,https://sports.yahoo.com/nfl/teams/chicago/,['TE'],,,small,https://s.yimg.com/iu/api/res/1.2/aou5CR6EOCjzKnUqb7I54Q--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08302022/7777.png,https://s.yimg.com/iu/api/res/1.2/aou5CR6EOCjzKnUqb7I54Q--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08302022/7777.png,False,False,False,0.0,Marcedes,Lewis,Marcedes,Marcedes Lewis,Lewis,7777.0,461.p.7777,,O,TE,,https://sports.yahoo.com/nfl/players/7777,NA,Inactive: Coach's Decision or Not on Roster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,9.0,K,nfl.p.8432,NYJ,New York Jets,nfl.t.20,https://sports.yahoo.com/nfl/teams/ny-jets/,['K'],,1.0,small,https://s.yimg.com/iu/api/res/1.2/3.sAZrKS11dC4vZsvKDryQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/09182025/8432.png,https://s.yimg.com/iu/api/res/1.2/3.sAZrKS11dC4vZsvKDryQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/09182025/8432.png,False,False,False,0.0,Nick,Folk,Nick,Nick Folk,Folk,8432.0,461.p.8432,1760288074.0,K,K,6.0,https://sports.yahoo.com/nfl/players/8432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,7.0,K,nfl.p.8565,Buf,Buffalo Bills,nfl.t.2,https://sports.yahoo.com/nfl/teams/buffalo/,['K'],,1.0,small,https://s.yimg.com/iu/api/res/1.2/0A0dIdoRxUxO24TwNjQSyw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/09172025/8565.png,https://s.yimg.com/iu/api/res/1.2/0A0dIdoRxUxO24TwNjQSyw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/09172025/8565.png,False,False,False,0.0,Matt,Prater,Matt,Matt Prater,Prater,8565.0,461.p.8565,1760409146.0,K,K,15.0,https://sports.yahoo.com/nfl/players/8565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10.0,QB,nfl.p.8795,Cin,Cincinnati Bengals,nfl.t.4,https://sports.yahoo.com/nfl/teams/cincinnati/,['QB'],,1.0,small,https://s.yimg.com/iu/api/res/1.2/vhO8VjyUIfV6JbmctwCrag--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/10072025/8795.png,https://s.yimg.com/iu/api/res/1.2/vhO8VjyUIfV6JbmctwCrag--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/10072025/8795.png,False,False,False,0.0,Joe,Flacco,Joe,Joe Flacco,Flacco,8795.0,461.p.8795,1760673794.0,O,QB,16.0,https://sports.yahoo.com/nfl/players/8795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12.0,QB,nfl.p.8937,Was,Washington Commanders,nfl.t.28,https://sports.yahoo.com/nfl/teams/washington/,['QB'],,1.0,small,https://s.yimg.com/iu/api/res/1.2/X_y5cj5wN2QCZqg_UWg4eA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/09102025/8937.png,https://s.yimg.com/iu/api/res/1.2/X_y5cj5wN2QCZqg_UWg4eA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/09102025/8937.png,False,False,False,0.0,Josh,Johnson,Josh,Josh Johnson,Johnson,8937.0,461.p.8937,1760397729.0,O,QB,14.0,https://sports.yahoo.com/nfl/players/8937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,8.0,QB,nfl.p.9265,LAR,Los Angeles Rams,nfl.t.14,https://sports.yahoo.com/nfl/teams/la-rams/,['QB'],,1.0,small,https://s.yimg.com/iu/api/res/1.2/D1yOOqEAShgd8mG3kr3dWA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08252025/9265.png,https://s.yimg.com/iu/api/res/1.2/D1yOOqEAShgd8mG3kr3dWA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08252025/9265.png,False,False,False,0.0,Matthew,Stafford,Matthew,Matthew Stafford,Stafford,9265.0,461.p.9265,1760317467.0,O,QB,9.0,https://sports.yahoo.com/nfl/players/9265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,14.0,K,nfl.p.9526,NYG,New York Giants,nfl.t.19,https://sports.yahoo.com/nfl/teams/ny-giants/,['K'],,,small,https://s.yimg.com/iu/api/res/1.2/tH7k05Btg4H5Oi0smFGdyg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/09082025/9526.png,https://s.yimg.com/iu/api/res/1.2/tH7k05Btg4H5Oi0smFGdyg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/09082025/9526.png,False,False,False,0.0,Graham,Gano,Graham,Graham Gano,Gano,9526.0,461.p.9526,,K,K,9.0,https://sports.yahoo.com/nfl/players/9526,IR,Injured Reserve,Groin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.0,QB,nfl.p.9547,LV,Las Vegas Raiders,nfl.t.13,https://sports.yahoo.com/nfl/teams/las-vegas/,['QB'],,,small,https://s.yimg.com/iu/api/res/1.2/ZttNGaSkfm38HUqZe0OkHw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08142023/9547.png,https://s.yimg.com/iu/api/res/1.2/ZttNGaSkfm38HUqZe0OkHw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08142023/9547.png,False,False,False,0.0,Brian,Hoyer,Brian,Brian Hoyer,Hoyer,9547.0,461.p.9547,,O,QB,,https://sports.yahoo.com/nfl/players/9547,NA,Inactive: Coach's Decision or Not on Roster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,11.0,TE,nfl.p.24070,NO,New Orleans Saints,nfl.t.18,https://sports.yahoo.com/nfl/teams/new-orleans/,['TE'],,,small,https://s.yimg.com/iu/api/res/1.2/jhghqaZM4.S6kXPF.OuyWw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/09182023/24070.png,https://s.yimg.com/iu/api/res/1.2/jhghqaZM4.S6kXPF.OuyWw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/09182023/24070.png,False,False,False,0.0,Jimmy,Graham,Jimmy,Jimmy Graham,Graham,24070.0,461.p.24070,,O,TE,,https://sports.yahoo.com/nfl/players/24070,NA,Inactive: Coach's Decision or Not on Roster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
