Year,G,G,Coach,Offense,Defense,Team
2025,7,,Jonathan Gannon,Drew Petzing,Nick Rallis,Arizona Cardinals
2024,17,,Jonathan Gannon,Drew Petzing,Nick Rallis,Arizona Cardinals
2023,17,,Jonathan Gannon,Drew Petzing,Nick Rallis,Arizona Cardinals
2022,17,,Kliff Kingsbury,,Vance Joseph,Arizona Cardinals
2021,17,1.0,Kliff Kingsbury,,Vance Joseph,Arizona Cardinals
2020,16,,Kliff Kingsbury,,Vance Joseph,Arizona Cardinals
2019,16,,Kliff Kingsbury,,Vance Joseph,Arizona Cardinals
2018,16,,Steve Wilks,"Byron Leftwich, Mike McCoy",Al Holcomb,Arizona Cardinals
2017,16,,Bruce Arians,Harold Goodwin,James Bettcher,Arizona Cardinals
2016,16,,Bruce Arians,Harold Goodwin,James Bettcher,Arizona Cardinals
2015,16,2.0,Bruce Arians,Harold Goodwin,James Bettcher,Arizona Cardinals
2014,16,1.0,Bruce Arians,Harold Goodwin,Todd Bowles,Arizona Cardinals
2013,16,0.0,Bruce Arians,Harold Goodwin,Todd Bowles,Arizona Cardinals
2012,16,0.0,Ken Whisenhunt,Mike Miller,Ray Horton,Arizona Cardinals
2011,16,0.0,Ken Whisenhunt,Mike Miller,Ray Horton,Arizona Cardinals
2010,16,0.0,Ken Whisenhunt,,Bill Davis,Arizona Cardinals
2009,16,2.0,Ken Whisenhunt,,Bill Davis,Arizona Cardinals
2008,16,4.0,Ken Whisenhunt,Todd Haley,Clancy Pendergast,Arizona Cardinals
2007,16,0.0,Ken Whisenhunt,Todd Haley,Clancy Pendergast,Arizona Cardinals
2006,16,0.0,Dennis Green,"Mike Kruczek, Keith Rowen",Clancy Pendergast,Arizona Cardinals
2005,16,0.0,Dennis Green,Keith Rowen,Clancy Pendergast,Arizona Cardinals
2004,16,0.0,Dennis Green,Alex Wood,Clancy Pendergast,Arizona Cardinals
2003,16,0.0,Dave McGinnis,Jerry Sullivan,Larry Marmie,Arizona Cardinals
2002,16,0.0,Dave McGinnis,Rich Olson,Larry Marmie,Arizona Cardinals
2001,16,0.0,Dave McGinnis,Rich Olson,Larry Marmie,Arizona Cardinals
2000,7,0.0,Vince Tobin,Marc Trestman,"Larry Marmie, Dave McGinnis",Arizona Cardinals
2000,9,0.0,Dave McGinnis,Marc Trestman,Larry Marmie,Arizona Cardinals
1999,16,0.0,Vince Tobin,Marc Trestman,Dave McGinnis,Arizona Cardinals
1998,16,2.0,Vince Tobin,Marc Trestman,Dave McGinnis,Arizona Cardinals
1997,16,0.0,Vince Tobin,Dick Jamieson,Dave McGinnis,Arizona Cardinals
1996,16,0.0,Vince Tobin,Jim Fassel,Dave McGinnis,Arizona Cardinals
1995,16,0.0,Buddy Ryan,Dave Atkins,Ronnie Jones,Arizona Cardinals
1994,16,0.0,Buddy Ryan,Dave Atkins,Ronnie Jones,Arizona Cardinals
1993,16,0.0,Joe Bugel,Jerry Rhome,Fritz Shurmur,Arizona Cardinals
1992,16,0.0,Joe Bugel,Jerry Rhome,Fritz Shurmur,Arizona Cardinals
1991,16,0.0,Joe Bugel,Jerry Rhome,Fritz Shurmur,Arizona Cardinals
1990,16,0.0,Joe Bugel,Jerry Rhome,Joe Pascale,Arizona Cardinals
1989,5,0.0,Hank Kuhlmann,Jim Shofner,,Arizona Cardinals
1989,11,0.0,Gene Stallings,Jim Shofner,,Arizona Cardinals
1988,16,0.0,Gene Stallings,Jim Shofner,,Arizona Cardinals
1987,15,0.0,Gene Stallings,Jim Shofner,,Arizona Cardinals
1986,16,0.0,Gene Stallings,Jim Shofner,,Arizona Cardinals
1985,16,0.0,Jim Hanifan,Dick Jamieson,Floyd Peters,Arizona Cardinals
1984,16,0.0,Jim Hanifan,Rod Dowhower,"Tom Bettis, Floyd Peters",Arizona Cardinals
1983,16,0.0,Jim Hanifan,Rod Dowhower,"Tom Bettis, Floyd Peters",Arizona Cardinals
1982,9,1.0,Jim Hanifan,,"Tom Bettis, Floyd Peters",Arizona Cardinals
1981,16,0.0,Jim Hanifan,,Tom Bettis,Arizona Cardinals
1980,16,0.0,Jim Hanifan,,Tom Bettis,Arizona Cardinals
1979,3,0.0,Larry Wilson,,Tom Bettis,Arizona Cardinals
1979,13,0.0,Bud Wilkinson,,Tom Bettis,Arizona Cardinals
1978,16,0.0,Bud Wilkinson,,Tom Bettis,Arizona Cardinals
1977,14,0.0,Don Coryell,,Ray Willsey,Arizona Cardinals
1976,14,0.0,Don Coryell,,Ray Willsey,Arizona Cardinals
1975,14,1.0,Don Coryell,,Ray Willsey,Arizona Cardinals
1974,14,1.0,Don Coryell,,Ray Willsey,Arizona Cardinals
1973,14,0.0,Don Coryell,,Ray Willsey,Arizona Cardinals
1972,14,0.0,Bob Hollway,Lew Carpenter,Chuck Drulis,Arizona Cardinals
1971,14,0.0,Bob Hollway,Lew Carpenter,Dick Voris,Arizona Cardinals
1970,14,0.0,Charley Winner,,Chuck Drulis,Arizona Cardinals
1969,14,0.0,Charley Winner,,Chuck Drulis,Arizona Cardinals
1968,14,0.0,Charley Winner,,Chuck Drulis,Arizona Cardinals
1967,14,0.0,Charley Winner,,Chuck Drulis,Arizona Cardinals
1966,14,0.0,Charley Winner,,Chuck Drulis,Arizona Cardinals
1965,14,0.0,Wally Lemm,,Chuck Drulis,Arizona Cardinals
1964,14,0.0,Wally Lemm,,Chuck Drulis,Arizona Cardinals
1963,14,0.0,Wally Lemm,,Chuck Drulis,Arizona Cardinals
1962,14,0.0,Wally Lemm,,Chuck Drulis,Arizona Cardinals
1961,2,0.0,Chuck Drulis,,,Arizona Cardinals
1961,2,0.0,Ray Prochaska,,,Arizona Cardinals
1961,2,0.0,Ray Willsey,,,Arizona Cardinals
