season,club_code,week,game_type,depth_team,last_name,first_name,football_name,formation,gsis_id,jersey_number,position,elias_id,depth_position,full_name
2020,ATL,1.0,REG,2,Hill,Brian,Brian,Offense,00-0033567,36,RB,HIL101853,HB,Brian Hill
2020,ATL,1.0,REG,3,Smith,Alton,Keith,Offense,00-0030968,40,FB,SMI449995,"
    ",Keith Smith
2020,ATL,1.0,REG,1,Jarrett,Grady,Grady,Defense,00-0031583,97,DT,JAR254349,DT,Grady Jarrett
2020,ATL,1.0,REG,2,Senat,Deadrin,Deadrin,Defense,00-0034363,56,DT,SEN026161,DT,Deadrin Senat
2020,ATL,1.0,REG,2,Hawkins,Jaylinn,Jaylinn,Defense,00-0036302,32,FS,HAW416901,S,Jaylinn Hawkins
2020,ATL,1.0,REG,1,Koo,Younghoe,Younghoe,Special Teams,00-0033702,6,K,KOO012942,K,Younghoe Koo
2020,ATL,1.0,REG,1,Koo,Younghoe,Younghoe,Special Teams,00-0033702,6,K,KOO012942,KO,Younghoe Koo
2020,ATL,1.0,REG,1,Ridley,Calvin,Calvin,Offense,00-0034837,0,WR,RID652384,WR,Calvin Ridley
2020,ATL,1.0,REG,2,Schaub,Matt,Matt,Offense,00-0022787,8,QB,SCH085186,QB,Matt Schaub
2020,ATL,1.0,REG,3,Smith,Romarius,Ito,Offense,00-0034378,43,RB,SMI342780,HB,Ito Smith
2020,ATL,1.0,REG,1,Davison,Tyeler,Tyeler,Defense,00-0031947,90,DT,DAV822084,DT,Tyeler Davison
2020,ATL,1.0,REG,2,Cominsky,John,John,Defense,00-0035265,79,DE,COM275428,DT,John Cominsky
2020,ATL,1.0,REG,1,Fowler,Dante,Dante,Defense,00-0032052,6,OLB,FOW382785,DE,Dante Fowler
2020,ATL,1.0,REG,3,Tuioti-Mariner,Jacob,Jacob,Defense,00-0034154,94,OLB,TUI681078,DE,Jacob Tuioti-Mariner
2020,ATL,1.0,REG,2,Reynolds,LaRoy,LaRoy,Defense,00-0029955,49,OLB,REY431570,LB,LaRoy Reynolds
2020,ATL,1.0,REG,2,Walker,Mykal,Mykal,Defense,00-0036300,32,ILB,WAL280175,LB,Mykal Walker
2020,ATL,1.0,REG,3,Wreh-Wilson,Blidi,Blidi,Defense,00-0030541,36,CB,WRE233874,CB,Blidi Wreh-Wilson
2020,ATL,1.0,REG,2,Neasman,Sharrod,Sharrod,Defense,00-0032592,35,CB,NEA752713,CB,Sharrod Neasman
2020,ATL,1.0,REG,1,Ryan,Matthew,Matt,Offense,00-0026143,2,QB,RYA238179,QB,Matt Ryan
2020,ATL,1.0,REG,1,Gurley,Todd Gurley II,Todd,Offense,00-0032241,21,RB,GUR000000,HB,Todd Gurley
2020,ATL,1.0,REG,1,McKinley,Takkarist,Takkarist,Defense,00-0033540,59,DE,MCK405174,DE,Takkarist McKinley
2020,ATL,1.0,REG,1,Jones,Deion,Deion,Defense,00-0032388,45,ILB,JON233279,LB,Deion Jones
2020,ATL,1.0,REG,1,Oluokun,Foyesade,Foyesade,Defense,00-0034413,23,ILB,OLU474619,LB,Foyesade Oluokun
2020,ATL,1.0,REG,1,Terrell,A.J.,A.J.,Defense,00-0036285,24,CB,TER272956,CB,A.J. Terrell
2020,ATL,1.0,REG,2,Dennard,Darqueze,Darqueze,Defense,00-0031380,31,CB,DEN095585,CB,Darqueze Dennard
2020,ATL,1.0,REG,1,Allen,Ricardo,Ricardo,Defense,00-0031181,37,SS,ALL641418,CB,Ricardo Allen
2020,ATL,1.0,REG,1,Kazee,Damontae,Damontae,Defense,00-0033512,23,SS,KAZ186981,S,Damontae Kazee
2020,ATL,1.0,REG,1,Hofrichter,Sterling,Sterling,Special Teams,00-0036319,59,P,HOF798120,P,Sterling Hofrichter
2020,ATL,1.0,REG,1,Harris,Josh,Josh,Special Teams,00-0028845,47,LS,HAR000002,LS,Josh Harris
2020,ATL,1.0,REG,1,Gage,Russell,Russell,Offense,00-0034411,3,WR,GAG130654,WR,Russell Gage
2020,ATL,1.0,REG,2,Powell,Brandon,Brandon,Offense,00-0034646,4,WR,POW179215,WR,Brandon Powell
2020,ATL,1.0,REG,2,Zaccheaus,Olamide,Olamide,Offense,00-0035208,14,WR,ZAC133180,WR,Olamide Zaccheaus
2020,ATL,1.0,REG,2,Bailey,Allen,Allen,Defense,00-0028024,93,DE,BAI026169,DE,Allen Bailey
2020,ATL,1.0,REG,2,Means,Steven,Steven,Defense,00-0030387,60,OLB,MEA790667,DE,Steven Means
2020,ATL,1.0,REG,1,Matthews,Jacob,Jake,Offense,00-0031279,70,T,MAT565555,LT,Jake Matthews
2020,ATL,1.0,REG,2,McCray,Justin,Justin,Offense,00-0030792,67,C,MCC669589,C,Justin McCray
2020,ATL,1.0,REG,1,McGary,Kaleb,Kaleb,Offense,00-0035235,76,T,MCG037471,RT,Kaleb McGary
2020,ATL,1.0,REG,1,Jones,Quintorris,Julio,Offense,00-0027944,80,WR,JON640315,WR,Julio Jones
2020,ATL,1.0,REG,2,Blake,Christian,Christian,Offense,00-0034132,21,WR,BLA573971,WR,Christian Blake
2020,ATL,1.0,REG,1,Carpenter,James,James,Offense,00-0027963,77,G,CAR302544,LG,James Carpenter
2020,ATL,1.0,REG,1,Lindstrom,Christopher,Chris,Offense,00-0035630,63,G,LIN451080,RG,Chris Lindstrom
2020,ATL,1.0,REG,2,Gono,Matthew,Matt,Offense,00-0034140,73,T,GON205666,LT,Matt Gono
2020,ATL,1.0,REG,1,Hurst,Hayden,Hayden,Offense,00-0034830,88,TE,HUR495014,TE,Hayden Hurst
2020,ATL,1.0,REG,3,Stocker,Lucas,Luke,Offense,00-0028042,35,TE,STO088140,TE,Luke Stocker
2020,ATL,1.0,REG,2,Hennessy,Matthew,Matt,Offense,00-0036295,76,C,HEN536731,LG,Matt Hennessy
2020,ATL,1.0,REG,1,Mack,Alex,Alex,Offense,00-0026997,50,C,MAC273212,C,Alex Mack
2020,ATL,1.0,REG,2,Graham,Jaeden,Jaeden,Offense,00-0034788,87,TE,GRA199272,TE,Jaeden Graham
2020,ATL,1.0,REG,1,Neal,Keanu,Keanu,Defense,00-0032382,31,FS,NEA222964,S,Keanu Neal
2020,ATL,1.0,REG,1,Zaccheaus,Olamide,Olamide,Special Teams,00-0035208,14,WR,ZAC133180,KR,Olamide Zaccheaus
2020,ATL,1.0,REG,1,Powell,Brandon,Brandon,Special Teams,00-0034646,4,WR,POW179215,PR,Brandon Powell
2020,ATL,2.0,REG,2,Hill,Brian,Brian,Offense,00-0033567,36,RB,HIL101853,HB,Brian Hill
2020,ATL,2.0,REG,3,Smith,Alton,Keith,Offense,00-0030968,40,FB,SMI449995,"
    ",Keith Smith
2020,ATL,2.0,REG,1,Jarrett,Grady,Grady,Defense,00-0031583,97,DT,JAR254349,DT,Grady Jarrett
2020,ATL,2.0,REG,2,Senat,Deadrin,Deadrin,Defense,00-0034363,56,DT,SEN026161,DT,Deadrin Senat
2020,ATL,2.0,REG,2,Hawkins,Jaylinn,Jaylinn,Defense,00-0036302,32,FS,HAW416901,S,Jaylinn Hawkins
2020,ATL,2.0,REG,1,Koo,Younghoe,Younghoe,Special Teams,00-0033702,6,K,KOO012942,K,Younghoe Koo
2020,ATL,2.0,REG,1,Koo,Younghoe,Younghoe,Special Teams,00-0033702,6,K,KOO012942,KO,Younghoe Koo
2020,ATL,2.0,REG,1,Ridley,Calvin,Calvin,Offense,00-0034837,0,WR,RID652384,WR,Calvin Ridley
2020,ATL,2.0,REG,2,Schaub,Matt,Matt,Offense,00-0022787,8,QB,SCH085186,QB,Matt Schaub
2020,ATL,2.0,REG,3,Smith,Romarius,Ito,Offense,00-0034378,43,RB,SMI342780,HB,Ito Smith
2020,ATL,2.0,REG,1,Davison,Tyeler,Tyeler,Defense,00-0031947,90,DT,DAV822084,DT,Tyeler Davison
2020,ATL,2.0,REG,2,Cominsky,John,John,Defense,00-0035265,79,DE,COM275428,DT,John Cominsky
2020,ATL,2.0,REG,1,Fowler,Dante,Dante,Defense,00-0032052,6,OLB,FOW382785,DE,Dante Fowler
