,gsis_unq,wk1_depth,gsis_id,cleaned_name_yahoo,player_key,primary_position,season,gs_unq,bye_weeks.week,player_points.total,recent_team,games,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,pacr,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,misc_yards,penalties,penalty_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,def_points_allowed,def_plays_against,def_yds_per_play,def_takeaways,def_cmp_against,def_pass_attempts_against,def_passing_allowed,def_passing_td_allowed,def_passing_ny_attempt,def_passing_1st,def_rushing_attamepts_against,def_rushing_allowed,def_rushing_td_allowed,def_rushing_ny_attempt,def_rushing_1st,def_penalties,def_penalty_yds,def_penalty_1st,def_scoring_drives%,def_TO_drives%,def_exp_pts,def_season,def_3Datt,def_3D%,def_4Datt,def_4D%,def_rz_att,def_rz%,team,def_special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_safeties,def_misc_yards,def_fumble_recovery_opp,def_fumble_recovery_yards_opp,def_fumble_recovery_tds,def_punt_returns,def_punt_return_yards,def_kickoff_returns,def_kickoff_return_yards,HC,OC,DC,eos_depth
95,00-0022736_2014,1.0,00-0022736,steven jackson,331.p.6783,RB,2014,00-0022736_2014,10,142.5,ATL,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,190,707,6,0,0,38,-16.42441172,0,20,27,148,0,0,0,33,121,6,1.621709247061517,0,4.484848484848484,0.043338684,0.006740196,0.069726163,0,1,10,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,atlanta falcons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mike smith,dirk koetter,mike nolan,1
96,00-0022736_2015,99.0,00-0022736,steven jackson,348.p.6783,RB,2015,00-0022736_2015,4,14.0,NE,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,21,50,1,0,0,4,-2.737324536,0,1,1,20,0,0,0,-3,23,1,2.190685879904777,0,-6.666666667,0.001602564,-0.000607903,0.001978314,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,new england patriots,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bill belichick,josh mcdaniels,matt patricia,99
166,00-0023437_2014,2.0,00-0023437,ronnie brown,331.p.7178,RB,2014,00-0023437_2014,10,15.7,LAC,8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,20,63,0,0,0,5,-3.359922522,0,5,8,44,0,0,0,12,30,1,0.1636921744793653,0,3.6666666666666665,0.016666667,0.003009027,0.027106319,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,los angeles chargers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mike mccoy,frank reich,john pagano,3
193,00-0023500_2014,1.0,00-0023500,frank gore,331.p.7241,RB,2014,00-0023500_2014,11,163.7,SF,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,255,1106,4,2,2,57,-24.91768804,0,11,19,111,1,0,0,84,102,2,1.445328401925508,0,1.3214285714285714,0.039256198,0.017732742,0.071297217,0,3,21,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,san francisco 49ers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jim harbaugh,greg roman,vic fangio,1
194,00-0023500_2015,1.0,00-0023500,frank gore,348.p.7241,RB,2015,00-0023500_2015,5,193.4,IND,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,260,967,6,4,3,49,-49.75316217,0,34,58,267,1,0,0,-13,273,10,-0.511967734,0,-20.53846154,0.09602649,-0.002459792,0.142317881,0,2,20,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,indianapolis colts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chuck pagano,pep hamilton,greg manusky,1
195,00-0023500_2016,1.0,00-0023500,frank gore,359.p.7241,RB,2016,00-0023500_2016,11,216.2,IND,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,263,1025,4,2,1,50,-24.40934607,0,38,47,277,4,0,0,1,286,14,10.145314327673988,0,277.0,0.082167832,0.000206228,0.1233961079135341,0,1,5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,indianapolis colts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chuck pagano,rob chudzinski,ted monachino,1
196,00-0023500_2017,1.0,00-0023500,frank gore,371.p.7241,RB,2017,00-0023500_2017,11,175.6,IND,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,261,961,3,3,0,50,-24.00169583,0,29,38,245,1,0,0,-26,275,9,4.851583616653631,0,-9.423076923,0.080508475,-0.007069059,0.1158143703744665,0,2,10,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,indianapolis colts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chuck pagano,rob chudzinski,ted monachino,1
197,00-0023500_2018,2.0,00-0023500,frank gore,380.p.7241,RB,2018,00-0023500_2018,11,103.6,MIA,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,156,722,0,1,0,25,-3.905759742,0,12,16,124,1,0,0,21,115,8,6.865175573417218,0,5.904761904761905,0.036781609,0.00567721,0.059146461,0,1,5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,miami dolphins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,adam gase,dowell loggains,matt burke,99
198,00-0023500_2019,1.0,00-0023500,frank gore,390.p.7241,RB,2019,00-0023500_2019,4,96.4,BUF,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,166,599,2,0,0,33,-32.82823096,0,13,16,100,0,0,0,14,88,5,1.1109304146375507,0,7.142857142857143,0.032989691,0.002987623,0.051575872,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,buffalo bills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sean mcdermott,brian daboll,leslie frazier,1
199,00-0023500_2020,2.0,00-0023500,frank gore,399.p.7241,RB,2020,00-0023500_2020,10,100.2,NYJ,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,187,653,2,1,1,33,-41.30601822,0,16,19,89,0,0,0,34,73,3,0.4342087338338438,0,2.617647058823529,0.041036717,0.008007537,0.067160351,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,new york jets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,adam gase,dowell loggains,gregg williams,1
