,mfl_id,sportradar_id,fantasypros_id,gsis_id,pff_id,sleeper_id,nfl_id,espn_id,yahoo_id,fleaflicker_id,cbs_id,pfr_id,cfbref_id,rotowire_id,rotoworld_id,ktc_id,stats_id,stats_global_id,fantasy_data_id,swish_id,name,merge_name,position,team,birthdate,age,draft_year,draft_round,draft_pick,draft_ovr,twitter_username,height,weight,college,db_season
0,17030,3c76cab3-3df2-43dd-acaa-57e055bd32d0,24755.0,00-0040676,133244.0,12522.0,58203.0,4688380.0,,,3168422.0,WardCa00,,16997.0,,1730.0,41786.0,0.0,25323.0,,Cam Ward,cam ward,QB,TEN,2002-05-25,23.4,2025.0,1.0,1.0,1.0,,74.0,219.0,Miami (FL),2025
1,17031,270e09bc-8bf8-44b0-87ed-1fd014de4ab7,25968.0,00-0040668,131396.0,12524.0,58349.0,4432762.0,,,26710004.0,SandSh00,,18479.0,,1731.0,41930.0,0.0,26079.0,,Shedeur Sanders,shedeur sanders,QB,CLE,2002-02-07,23.7,2025.0,5.0,6.0,144.0,,74.0,212.0,Colorado,2025
2,17032,53848cba-bcad-4cd0-bb35-0a1f6ed111d1,23160.0,00-0040691,146409.0,12508.0,58227.0,4689114.0,,,26694019.0,DartJa00,,18574.0,,1732.0,41810.0,0.0,26082.0,,Jaxson Dart,jaxson dart,QB,NYG,2003-05-13,22.4,2025.0,1.0,25.0,25.0,,74.0,223.0,Ole Miss,2025
3,17033,b0eb5b67-4ef2-462d-bfe7-e73bcce1f6b0,22884.0,00-0040673,146590.0,12510.0,58297.0,4432734.0,,,26694943.0,MilrJa00,,18477.0,,1733.0,41882.0,0.0,25882.0,,Jalen Milroe,jalen milroe,QB,SEA,2002-12-13,22.8,2025.0,3.0,28.0,92.0,,74.0,216.0,Alabama,2025
4,17034,d89f0384-21a6-44e4-8aa6-324cb2103bf6,23680.0,00-0040234,127253.0,12500.0,58436.0,4889929.0,,,26746721.0,EwerQu00,,18505.0,,1734.0,42037.0,0.0,26048.0,,Quinn Ewers,quinn ewers,QB,MIA,2003-05-13,22.4,2025.0,7.0,15.0,231.0,,74.0,209.0,Texas,2025
5,17035,38b62d7f-4403-4e2b-8083-4d0cd08e81aa,25373.0,00-0040206,143862.0,12470.0,58394.0,4683423.0,,,26699092.0,LeonRi02,,18513.0,,1735.0,41968.0,0.0,24992.0,,Riley Leonard,riley leonard,QB,IND,2002-09-13,23.1,2025.0,6.0,13.0,189.0,,76.0,213.0,Notre Dame,2025
6,17036,b8a1b579-3a7e-4858-960b-fbfaca8de613,25972.0,00-0040203,122599.0,12511.0,58390.0,4429955.0,,,3162310.0,HowaWi01,,18512.0,,1736.0,41989.0,0.0,25884.0,,Will Howard,will howard,QB,PIT,2001-09-24,24.1,2025.0,6.0,9.0,185.0,,76.0,236.0,Ohio State,2025
7,17037,299d4fe8-188c-43d1-95d3-8a8f103da5c5,23150.0,00-0040704,86272.0,12486.0,58299.0,4427238.0,,,3121534.0,GabrDi00,,18496.0,,1737.0,41861.0,0.0,23177.0,,Dillon Gabriel,dillon gabriel,QB,CLE,2000-12-28,24.8,2025.0,3.0,30.0,94.0,,71.0,205.0,Oregon,2025
8,17038,451c7689-4fc2-410a-a33f-22dfa2ab37d4,23066.0,00-0040014,145053.0,12494.0,58386.0,4433971.0,,,26702687.0,McCoKy00,,18498.0,,1738.0,41971.0,0.0,26085.0,,Kyle McCord,kyle mccord,QB,PHI,2002-09-19,23.1,2025.0,6.0,5.0,181.0,,75.0,218.0,Syracuse,2025
9,17039,94b8f9e1-3109-4429-8f71-4f79d7588237,23096.0,00-0040743,83537.0,12545.0,58245.0,4360689.0,,,2964064.0,ShouTy00,,17037.0,,1739.0,41825.0,0.0,23187.0,,Tyler Shough,tyler shough,QB,NOS,1999-09-28,26.1,2025.0,2.0,8.0,40.0,,77.0,219.0,Louisville,2025
