,def_season,def_team,def_special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_safeties,def_misc_yards,def_fumble_recovery_opp,def_fumble_recovery_yards_opp,def_fumble_recovery_tds,def_punt_returns,def_punt_return_yards,def_kickoff_returns,def_kickoff_return_yards
0,2014,ARI,1,710,51,161,82,361,9,35,244,83,18,321,62,3,0,62,7,7,1,26,277,22,417
1,2014,ATL,1,645,41,337,55,211,13,22,140,63,16,113,66,1,0,75,12,12,1,18,239,50,1174
2,2014,BAL,2,645,24,372,74,407,16,49,362,118,11,135,75,1,1,45,11,11,0,32,292,38,1077
3,2014,BUF,3,618,146,304,88,354,14,54,308,99,19,322,75,0,1,14,11,11,1,37,354,33,770
4,2014,CAR,1,640,15,315,64,278,22,40,268,80,14,350,73,2,0,0,12,12,0,30,239,37,805
5,2014,CHI,1,671,30,292,66,271,18,39,228,79,14,141,53,1,0,0,10,10,0,21,109,55,1290
6,2014,CIN,0,657,17,411,60,212,7,20,125,75,20,161,96,1,3,0,6,6,0,40,439,45,1241
7,2014,CLE,0,660,31,433,62,309,15,30,186,70,21,333,96,2,1,0,8,8,1,27,181,37,801
8,2014,DAL,0,664,63,245,59,219,15,27,156,79,18,228,71,2,0,0,13,13,1,30,275,33,790
9,2014,DEN,0,692,50,196,80,337,15,41,252,93,18,213,91,2,1,0,7,7,1,41,296,32,802
10,2014,DET,0,680,18,202,100,438,11,42,295,119,20,388,75,1,1,0,7,7,1,32,284,25,612
11,2014,GB,2,671,87,275,65,317,12,41,261,96,18,396,88,3,1,0,9,9,1,29,333,29,555
12,2014,HOU,1,658,80,314,72,337,17,38,251,116,20,483,94,4,1,5,14,14,1,34,208,20,422
13,2014,IND,0,656,34,274,73,329,21,40,257,86,12,143,75,1,0,1,14,14,1,45,312,38,1065
14,2014,JAX,0,744,28,332,82,299,19,45,275,75,6,80,47,1,1,0,14,14,2,37,264,43,1033
15,2014,KC,2,747,46,152,67,282,13,46,253,85,6,95,74,1,0,0,7,7,1,50,605,51,1430
16,2014,LA,2,720,91,179,86,367,17,40,265,71,13,276,63,3,0,38,12,12,0,37,482,45,1099
17,2014,LAC,0,623,169,265,60,227,16,26,178,52,7,65,55,0,1,9,11,11,3,23,203,26,577
18,2014,LV,1,724,62,236,74,276,12,22,157,56,9,76,58,0,0,0,5,5,1,37,261,47,1027
19,2014,MIA,0,738,48,204,74,294,13,39,211,74,14,299,54,2,3,90,11,11,1,25,204,41,1082
20,2014,MIN,2,718,28,262,67,296,9,41,217,92,13,201,61,2,0,73,6,6,2,27,297,54,1173
21,2014,NE,3,628,60,324,66,332,15,40,282,82,16,184,66,0,0,120,9,9,2,41,431,31,693
22,2014,NO,0,700,22,262,63,255,11,34,188,68,12,120,57,0,2,0,5,5,0,19,134,21,543
23,2014,NYG,0,618,159,279,64,330,15,47,313,96,17,236,75,0,0,0,8,8,1,29,224,44,1025
24,2014,NYJ,0,569,132,344,61,318,9,45,310,108,6,36,56,0,1,0,7,7,0,43,273,58,1342
