,season,team,season_type,games,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance_list
0,2021,ARI,REG,17,415,591,4619,27,11,39,-343,3,1,4425,2267,215,80.31259460220397,4.065957312521153,0,496,2076,23,15,1,143,-8.976329610566413,0,415,570,4619,27,2,1,4425,2267,215,161.75203599430918,0,0,623,80,358,64,259,21,40.0,227.0,101,13,247,73,1,2,0,0,23,33,14,14,1,114,990,66,26,238,29,611,30,37,7,0,62,0.8108108108108109,0,11,9,3,6,1,0,0,2,2,1,2,34;62;27;34;23;55;23;21;36;51;33;31;26;47;53;33;25;53;53;49;29;29;28;24;53;26;38;41;30;36,43;68;61;39;36;51;41,,1103,339,0,47,49,2,0,0.9591836734693877,0,0,0,0,
1,2021,ATL,REG,17,377,573,3987,20,15,40,-274,5,3,4143,1732,198,-16.814218519930545,0.7920964528380424,0,393,1451,11,9,3,83,-65.02302008257267,1,377,554,3987,20,7,5,4143,1732,198,55.53194485936751,0,0,637,91,481,44,174,14,17.0,148.0,59,12,202,77,2,1,1,0,11,16,8,8,0,92,753,56,23,189,46,999,27,29,2,0,54,0.9310344827586207,0,8,9,6,4,0,0,0,0,1,1,0,21;27;36;40;25;31;52;33;36;36;46;53;32;29;35;21;32;38;48;48;22;53;48;28;24;48;54,45;50,,996,95,0,30,30,0,0,1.0,3,3,0,0,40;36;29
2,2021,BAL,REG,17,396,611,4267,21,18,57,-306,5,3,5232,1717,210,-0.7380056510154844,0.46131624989905456,2,517,2479,18,7,3,165,10.518268495342522,0,396,591,4267,21,5,1,5232,1717,210,91.25577163917563,2,0,607,74,370,60,269,8,33.0,227.0,96,9,38,72,1,1,0,0,10,13,6,6,1,102,852,69,26,360,32,737,35,37,2,0,66,0.9459459459459459,0,7,9,13,5,1,0,0,0,2,0,0,40;47;43;39;50;32;66;40;46;20;23;52;39;45;37;36;46;35;27;46;52;25;49;35;28;50;42;55;38;22;46;46;34;24;46,49;48,,1401,97,0,32,32,0,0,1.0,2,2,0,0,66;36
3,2021,BUF,REG,17,415,655,4450,36,16,27,-166,3,1,5355,1751,242,78.07080575368649,2.0334372407551826,2,461,2209,20,8,3,140,30.4179243373543,1,415,623,4450,36,8,1,5355,1752,242,130.57344572478337,2,0,580,120,318,71,329,12,41.0,267.0,91,19,238,80,1,3,0,0,11,13,11,11,0,113,980,70,37,316,33,790,28,32,4,0,57,0.875,0,15,7,4,2,0,0,0,1,1,2,0,37;25;42;21;48;29;33;26;21;28;30;24;28;52;57;39;24;41;29;34;35;21;25;26;25;34;41;21,53;57;49;33,,896,192,0,51,51,0,0,1.0,0,0,0,0,
4,2021,CAR,REG,17,348,599,3573,14,21,52,-334,5,2,4417,1833,174,-132.20783896492765,-7.136778120691346,3,455,1842,17,10,5,129,-18.567005636062472,0,348,575,3573,14,1,1,4417,1831,174,-29.884024487876896,3,1,614,78,404,69,317,14,39.0,293.0,94,9,103,52,0,0,1,4,12,18,7,7,0,107,864,70,24,213,28,620,26,29,2,1,57,0.896551724137931,0,10,3,10,3,0,0,0,0,1,1,0,22;29;20;42;21;48;43;50;47;23;45;29;51;57;23;39;49;44;48;49;27;41;24;29;32;35,54;47,50,967,101,50,26,28,2,0,0.9285714285714286,0,0,0,0,
5,2021,CHI,REG,17,332,542,3635,16,20,58,-428,10,5,4495,1600,180,-92.62039353184636,-2.711714255332042,3,475,2018,14,5,2,128,-20.07169487785982,0,332,524,3635,16,1,0,4495,1600,180,39.80252061116848,3,1,633,75,385,71,339,14,49.0,366.0,83,8,135,56,1,2,1,0,14,18,8,8,1,106,914,64,29,338,51,1180,26,30,3,1,47,0.8666666666666667,0,10,5,11,0,0,0,0,0,1,1,1,28;22;47;22;33;46;46;28;39;40;25;30;22;28;43;28;23;44;43;34;35;21;44;43;46;42,65;40;53,49,902,158,49,27,28,1,0,0.9642857142857143,1,2,1,0,65;28
6,2021,CIN,REG,17,384,555,4806,36,14,55,-403,5,2,4397,2421,208,91.2513717798685,5.179868823400248,1,436,1742,16,2,1,100,-36.11549252261203,0,384,540,4806,36,5,2,4397,2421,208,184.8451853206846,1,0,642,77,411,73,277,17,41.0,265.0,99,13,266,63,1,6,0,0,9,11,8,8,1,72,620,84,36,261,33,662,29,34,5,0,58,0.8529411764705882,0,5,9,6,9,0,0,0,0,3,2,0,53;33;53;43;35;38;40;52;30;21;27;54;53;51;47;31;51;48;37;28;41;53;58;26;30;36;46;20;36,43;57;49;46;50,,1171,245,0,47,49,2,0,0.9591836734693877,3,3,0,0,33;35;20
7,2021,CLE,REG,17,320,520,3619,21,14,49,-299,7,5,4292,1760,177,-16.197115227810738,-1.9954708361912572,2,485,2471,20,5,1,142,26.724291706904634,1,320,499,3619,21,3,2,4292,1760,177,89.45269737984694,2,0,600,104,398,65,290,12,43.0,273.0,102,13,148,79,1,5,0,0,10,12,6,6,1,112,1035,55,47,337,40,828,16,22,5,1,57,0.7272727272727273,0,3,5,4,4,0,0,0,0,5,0,0,30;57;41;52;28;48;53;35;31;52;30;28;24;46;43;37,45;46;46;41;47,41,635,225,41,37,39,1,1,0.9487179487179487,0,0,0,0,
8,2021,DAL,REG,17,444,647,4963,40,11,33,-163,6,4,5116,2264,248,121.31508022533728,2.114250760063472,2,473,2119,15,8,4,121,-22.218052031812036,4,444,637,4963,40,4,0,5116,2264,248,190.00272552424374,2,3,624,63,333,61,307,13,41.0,297.0,114,26,405,83,5,3,0,5,15,19,8,8,1,127,1103,60,28,185,29,719,29,35,6,0,56,0.8285714285714286,0,5,15,7,2,0,0,0,1,2,2,1,35;21;48;34;56;37;31;38;31;30;45;49;38;39;33;30;48;29;45;55;34;35;38;37;29;26;42;27;48,31;60;51;43;59;43,,1088,287,0,47,53,6,0,0.8867924528301887,1,1,0,0,56
9,2021,DEN,REG,17,354,541,3856,20,9,40,-263,1,0,4552,1744,179,43.70757981475441,2.429708273544544,1,455,2025,16,7,6,128,-34.38671498639965,0,354,517,3856,20,2,1,4552,1744,179,114.2380955081038,1,0,578,63,381,58,283,6,36.0,249.0,83,13,221,73,1,2,0,0,3,3,6,6,0,83,711,62,28,230,18,291,26,31,4,1,61,0.8387096774193549,0,7,6,8,4,1,0,0,0,0,4,0,23;36;32;46;40;45;47;21;36;39;29;32;45;53;27;42;21;28;42;52;54;49;55;61;23;31,53;53;51;55,22,1009,212,22,33,34,1,0,0.9705882352941176,0,0,0,0,
