,player.bye_weeks.week,player.display_position,player.editorial_player_key,player.editorial_team_abbr,player.editorial_team_full_name,player.editorial_team_key,player.editorial_team_url,player.eligible_positions,player.eligible_positions_to_add,player.headshot.size,player.headshot.url,player.image_url,player.is_keeper.status,player.is_keeper.cost,player.is_keeper.kept,player.is_undroppable,player.name.ascii_first,player.name.ascii_last,player.name.first,player.name.full,player.name.last,player.player_id,player.player_key,player.player_points.coverage_type,player.player_points.season,player.player_points.total,player.player_stats.coverage_type,player.player_stats.season,player.player_stats.stats,player.position_type,player.primary_position,player.status,player.status_full,player.uniform_number,player.url,player.injury_note,player.has_player_notes,player.player_notes_last_timestamp,player.has_recent_player_notes
0,10,K,nfl.p.3727,Ind,Indianapolis Colts,nfl.t.11,https://sports.yahoo.com/nfl/teams/indianapolis/,['K'],,small,https://s.yimg.com/iu/api/res/1.2/OpHvpCHjl_PQvkeQUgsjsA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08152019/3727.png,https://s.yimg.com/iu/api/res/1.2/OpHvpCHjl_PQvkeQUgsjsA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08152019/3727.png,False,False,False,0,Adam,Vinatieri,Adam,Adam Vinatieri,Vinatieri,3727,359.p.3727,season,2016,149.0,season,2016,"[{'stat': {'stat_id': 19, 'value': 0.0}}, {'stat': {'stat_id': 20, 'value': 0.0}}, {'stat': {'stat_id': 21, 'value': 0.0}}, {'stat': {'stat_id': 22, 'value': 0.0}}, {'stat': {'stat_id': 23, 'value': 0.0}}, {'stat': {'stat_id': 24, 'value': 0.0}}, {'stat': {'stat_id': 25, 'value': 0.0}}, {'stat': {'stat_id': 29, 'value': 0.0}}, {'stat': {'stat_id': 30, 'value': 0.0}}]",K,K,NA,Inactive: Coach's Decision or Not on Roster,0,https://sports.yahoo.com/nfl/players/3727,,,,
1,9,K,nfl.p.4269,Ari,Arizona Cardinals,nfl.t.22,https://sports.yahoo.com/nfl/teams/arizona/,['K'],,small,https://s.yimg.com/iu/api/res/1.2/z4ki.EZ6BaZpDw0ptfBNCw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/09202018/4269.png,https://s.yimg.com/iu/api/res/1.2/z4ki.EZ6BaZpDw0ptfBNCw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/09202018/4269.png,False,False,False,0,Phil,Dawson,Phil,Phil Dawson,Dawson,4269,359.p.4269,season,2016,95.0,season,2016,"[{'stat': {'stat_id': 19, 'value': 0.0}}, {'stat': {'stat_id': 20, 'value': 0.0}}, {'stat': {'stat_id': 21, 'value': 0.0}}, {'stat': {'stat_id': 22, 'value': 0.0}}, {'stat': {'stat_id': 23, 'value': 0.0}}, {'stat': {'stat_id': 24, 'value': 0.0}}, {'stat': {'stat_id': 25, 'value': 0.0}}, {'stat': {'stat_id': 29, 'value': 0.0}}, {'stat': {'stat_id': 30, 'value': 0.0}}]",K,K,NA,Inactive: Coach's Decision or Not on Roster,0,https://sports.yahoo.com/nfl/players/4269,,,,
2,5,K,nfl.p.5046,Sea,Seattle Seahawks,nfl.t.26,https://sports.yahoo.com/nfl/teams/seattle/,['K'],,small,https://s.yimg.com/iu/api/res/1.2/_FbxgaDsf1YAqzWqEdlUbA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08212018/5046.png,https://s.yimg.com/iu/api/res/1.2/_FbxgaDsf1YAqzWqEdlUbA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08212018/5046.png,False,False,False,0,Sebastian,Janikowski,Sebastian,Sebastian Janikowski,Janikowski,5046,359.p.5046,season,2016,138.0,season,2016,"[{'stat': {'stat_id': 19, 'value': 0.0}}, {'stat': {'stat_id': 20, 'value': 0.0}}, {'stat': {'stat_id': 21, 'value': 0.0}}, {'stat': {'stat_id': 22, 'value': 0.0}}, {'stat': {'stat_id': 23, 'value': 0.0}}, {'stat': {'stat_id': 24, 'value': 0.0}}, {'stat': {'stat_id': 25, 'value': 0.0}}, {'stat': {'stat_id': 29, 'value': 0.0}}, {'stat': {'stat_id': 30, 'value': 0.0}}]",K,K,NA,Inactive: Coach's Decision or Not on Roster,0,https://sports.yahoo.com/nfl/players/5046,,,,
3,6,QB,nfl.p.5228,TB,Tampa Bay Buccaneers,nfl.t.27,https://sports.yahoo.com/nfl/teams/tampa-bay/,['QB'],,small,https://s.yimg.com/iu/api/res/1.2/Ol_o6nNm9irLqsJ.2ZxQHg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/09082022/5228.png,https://s.yimg.com/iu/api/res/1.2/Ol_o6nNm9irLqsJ.2ZxQHg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/09082022/5228.png,False,False,False,0,Tom,Brady,Tom,Tom Brady,Brady,5228,359.p.5228,season,2016,313.31,season,2016,"[{'stat': {'stat_id': 2, 'value': 0.0}}, {'stat': {'stat_id': 3, 'value': 0.0}}, {'stat': {'stat_id': 4, 'value': 0.0}}, {'stat': {'stat_id': 5, 'value': 0.0}}, {'stat': {'stat_id': 6, 'value': 0.0}}, {'stat': {'stat_id': 7, 'value': 0.0}}, {'stat': {'stat_id': 8, 'value': 0.0}}, {'stat': {'stat_id': 9, 'value': 0.0}}, {'stat': {'stat_id': 10, 'value': 0.0}}, {'stat': {'stat_id': 11, 'value': 0.0}}, {'stat': {'stat_id': 12, 'value': 0.0}}, {'stat': {'stat_id': 13, 'value': 0.0}}, {'stat': {'stat_id': 16, 'value': 0.0}}, {'stat': {'stat_id': 18, 'value': 0.0}}, {'stat': {'stat_id': 58, 'value': 0.0}}, {'stat': {'stat_id': 60, 'value': 0.0}}, {'stat': {'stat_id': 62, 'value': 0.0}}, {'stat': {'stat_id': 78, 'value': 0.0}}, {'stat': {'stat_id': 79, 'value': 0.0}}, {'stat': {'stat_id': 57, 'value': 0.0}}]",O,QB,NA,Inactive: Coach's Decision or Not on Roster,0,https://sports.yahoo.com/nfl/players/5228,,,,
4,8,QB,nfl.p.5448,Pit,Pittsburgh Steelers,nfl.t.23,https://sports.yahoo.com/nfl/teams/pittsburgh/,['QB'],,small,https://s.yimg.com/iu/api/res/1.2/Xi11RWLz3irOmysPknS_Cg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/20141101/5448.png,https://s.yimg.com/iu/api/res/1.2/Xi11RWLz3irOmysPknS_Cg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/20141101/5448.png,False,False,False,0,Michael,Vick,Michael,Michael Vick,Vick,5448,359.p.5448,season,2016,0.0,season,2016,"[{'stat': {'stat_id': 2, 'value': 0.0}}, {'stat': {'stat_id': 3, 'value': 0.0}}, {'stat': {'stat_id': 4, 'value': 0.0}}, {'stat': {'stat_id': 5, 'value': 0.0}}, {'stat': {'stat_id': 6, 'value': 0.0}}, {'stat': {'stat_id': 7, 'value': 0.0}}, {'stat': {'stat_id': 8, 'value': 0.0}}, {'stat': {'stat_id': 9, 'value': 0.0}}, {'stat': {'stat_id': 10, 'value': 0.0}}, {'stat': {'stat_id': 11, 'value': 0.0}}, {'stat': {'stat_id': 12, 'value': 0.0}}, {'stat': {'stat_id': 13, 'value': 0.0}}, {'stat': {'stat_id': 16, 'value': 0.0}}, {'stat': {'stat_id': 18, 'value': 0.0}}, {'stat': {'stat_id': 58, 'value': 0.0}}, {'stat': {'stat_id': 60, 'value': 0.0}}, {'stat': {'stat_id': 62, 'value': 0.0}}, {'stat': {'stat_id': 78, 'value': 0.0}}, {'stat': {'stat_id': 79, 'value': 0.0}}, {'stat': {'stat_id': 57, 'value': 0.0}}]",O,QB,NA,Inactive: Coach's Decision or Not on Roster,0,https://sports.yahoo.com/nfl/players/5448,,,,
5,5,QB,nfl.p.5479,NO,New Orleans Saints,nfl.t.18,https://sports.yahoo.com/nfl/teams/new-orleans/,['QB'],,small,https://s.yimg.com/iu/api/res/1.2/ZtLbvTkpsfmXFTvkzUyceg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/10012020/5479.png,https://s.yimg.com/iu/api/res/1.2/ZtLbvTkpsfmXFTvkzUyceg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/10012020/5479.png,False,False,False,0,Drew,Brees,Drew,Drew Brees,Brees,5479,359.p.5479,season,2016,428.22,season,2016,"[{'stat': {'stat_id': 2, 'value': 0.0}}, {'stat': {'stat_id': 3, 'value': 0.0}}, {'stat': {'stat_id': 4, 'value': 0.0}}, {'stat': {'stat_id': 5, 'value': 0.0}}, {'stat': {'stat_id': 6, 'value': 0.0}}, {'stat': {'stat_id': 7, 'value': 0.0}}, {'stat': {'stat_id': 8, 'value': 0.0}}, {'stat': {'stat_id': 9, 'value': 0.0}}, {'stat': {'stat_id': 10, 'value': 0.0}}, {'stat': {'stat_id': 11, 'value': 0.0}}, {'stat': {'stat_id': 12, 'value': 0.0}}, {'stat': {'stat_id': 13, 'value': 0.0}}, {'stat': {'stat_id': 16, 'value': 0.0}}, {'stat': {'stat_id': 18, 'value': 0.0}}, {'stat': {'stat_id': 58, 'value': 0.0}}, {'stat': {'stat_id': 60, 'value': 0.0}}, {'stat': {'stat_id': 62, 'value': 0.0}}, {'stat': {'stat_id': 78, 'value': 0.0}}, {'stat': {'stat_id': 79, 'value': 0.0}}, {'stat': {'stat_id': 57, 'value': 0.0}}]",O,QB,NA,Inactive: Coach's Decision or Not on Roster,0,https://sports.yahoo.com/nfl/players/5479,,,,
6,8,WR,nfl.p.5521,Bal,Baltimore Ravens,nfl.t.33,https://sports.yahoo.com/nfl/teams/baltimore/,['WR'],,small,https://s.yimg.com/iu/api/res/1.2/veMb7m8wlHPTqX4XuuygKA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/20160906/5521.1.png,https://s.yimg.com/iu/api/res/1.2/veMb7m8wlHPTqX4XuuygKA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/20160906/5521.1.png,False,False,False,0,Steve,Smith,Steve,Steve Smith,Smith,5521,359.p.5521,season,2016,184.9,season,2016,"[{'stat': {'stat_id': 2, 'value': 0.0}}, {'stat': {'stat_id': 3, 'value': 0.0}}, {'stat': {'stat_id': 4, 'value': 0.0}}, {'stat': {'stat_id': 5, 'value': 0.0}}, {'stat': {'stat_id': 6, 'value': 0.0}}, {'stat': {'stat_id': 7, 'value': 0.0}}, {'stat': {'stat_id': 8, 'value': 0.0}}, {'stat': {'stat_id': 9, 'value': 0.0}}, {'stat': {'stat_id': 10, 'value': 0.0}}, {'stat': {'stat_id': 11, 'value': 0.0}}, {'stat': {'stat_id': 12, 'value': 0.0}}, {'stat': {'stat_id': 13, 'value': 0.0}}, {'stat': {'stat_id': 16, 'value': 0.0}}, {'stat': {'stat_id': 18, 'value': 0.0}}, {'stat': {'stat_id': 58, 'value': 0.0}}, {'stat': {'stat_id': 60, 'value': 0.0}}, {'stat': {'stat_id': 62, 'value': 0.0}}, {'stat': {'stat_id': 78, 'value': 0.0}}, {'stat': {'stat_id': 79, 'value': 0.0}}, {'stat': {'stat_id': 57, 'value': 0.0}}]",O,WR,NA,Inactive: Coach's Decision or Not on Roster,0,https://sports.yahoo.com/nfl/players/5521,,,,
7,11,K,nfl.p.5854,Atl,Atlanta Falcons,nfl.t.1,https://sports.yahoo.com/nfl/teams/atlanta/,['K'],,small,https://s.yimg.com/iu/api/res/1.2/uJfH4.dqv63M5J2gtm9.rw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/20141101/5854.png,https://s.yimg.com/iu/api/res/1.2/uJfH4.dqv63M5J2gtm9.rw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/20141101/5854.png,False,False,False,0,Shayne,Graham,Shayne,Shayne Graham,Graham,5854,359.p.5854,season,2016,0.0,season,2016,"[{'stat': {'stat_id': 19, 'value': 0.0}}, {'stat': {'stat_id': 20, 'value': 0.0}}, {'stat': {'stat_id': 21, 'value': 0.0}}, {'stat': {'stat_id': 22, 'value': 0.0}}, {'stat': {'stat_id': 23, 'value': 0.0}}, {'stat': {'stat_id': 24, 'value': 0.0}}, {'stat': {'stat_id': 25, 'value': 0.0}}, {'stat': {'stat_id': 29, 'value': 0.0}}, {'stat': {'stat_id': 30, 'value': 0.0}}]",K,K,NA,Inactive: Coach's Decision or Not on Roster,0,https://sports.yahoo.com/nfl/players/5854,,,,
8,9,QB,nfl.p.5967,Hou,Houston Texans,nfl.t.34,https://sports.yahoo.com/nfl/teams/houston/,['QB'],,small,https://s.yimg.com/iu/api/res/1.2/1MizG6krzg8AnIX9mR7nAw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/11242020/5967.png,https://s.yimg.com/iu/api/res/1.2/1MizG6krzg8AnIX9mR7nAw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/11242020/5967.png,False,False,False,0,Josh,McCown,Josh,Josh McCown,McCown,5967,359.p.5967,season,2016,57.6,season,2016,"[{'stat': {'stat_id': 2, 'value': 0.0}}, {'stat': {'stat_id': 3, 'value': 0.0}}, {'stat': {'stat_id': 4, 'value': 0.0}}, {'stat': {'stat_id': 5, 'value': 0.0}}, {'stat': {'stat_id': 6, 'value': 0.0}}, {'stat': {'stat_id': 7, 'value': 0.0}}, {'stat': {'stat_id': 8, 'value': 0.0}}, {'stat': {'stat_id': 9, 'value': 0.0}}, {'stat': {'stat_id': 10, 'value': 0.0}}, {'stat': {'stat_id': 11, 'value': 0.0}}, {'stat': {'stat_id': 12, 'value': 0.0}}, {'stat': {'stat_id': 13, 'value': 0.0}}, {'stat': {'stat_id': 16, 'value': 0.0}}, {'stat': {'stat_id': 18, 'value': 0.0}}, {'stat': {'stat_id': 58, 'value': 0.0}}, {'stat': {'stat_id': 60, 'value': 0.0}}, {'stat': {'stat_id': 62, 'value': 0.0}}, {'stat': {'stat_id': 78, 'value': 0.0}}, {'stat': {'stat_id': 79, 'value': 0.0}}, {'stat': {'stat_id': 57, 'value': 0.0}}]",O,QB,NA,Inactive: Coach's Decision or Not on Roster,0,https://sports.yahoo.com/nfl/players/5967,,,,
9,6,QB,nfl.p.6169,Min,Minnesota Vikings,nfl.t.16,https://sports.yahoo.com/nfl/teams/minnesota/,['QB'],,small,https://s.yimg.com/iu/api/res/1.2/9gM5phVpBd2cCpJRcdPxGA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/20160906/6169.png,https://s.yimg.com/iu/api/res/1.2/9gM5phVpBd2cCpJRcdPxGA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/20160906/6169.png,False,False,False,0,Shaun,Hill,Shaun,Shaun Hill,Hill,6169,359.p.6169,season,2016,12.48,season,2016,"[{'stat': {'stat_id': 2, 'value': 0.0}}, {'stat': {'stat_id': 3, 'value': 0.0}}, {'stat': {'stat_id': 4, 'value': 0.0}}, {'stat': {'stat_id': 5, 'value': 0.0}}, {'stat': {'stat_id': 6, 'value': 0.0}}, {'stat': {'stat_id': 7, 'value': 0.0}}, {'stat': {'stat_id': 8, 'value': 0.0}}, {'stat': {'stat_id': 9, 'value': 0.0}}, {'stat': {'stat_id': 10, 'value': 0.0}}, {'stat': {'stat_id': 11, 'value': 0.0}}, {'stat': {'stat_id': 12, 'value': 0.0}}, {'stat': {'stat_id': 13, 'value': 0.0}}, {'stat': {'stat_id': 16, 'value': 0.0}}, {'stat': {'stat_id': 18, 'value': 0.0}}, {'stat': {'stat_id': 58, 'value': 0.0}}, {'stat': {'stat_id': 60, 'value': 0.0}}, {'stat': {'stat_id': 62, 'value': 0.0}}, {'stat': {'stat_id': 78, 'value': 0.0}}, {'stat': {'stat_id': 79, 'value': 0.0}}, {'stat': {'stat_id': 57, 'value': 0.0}}]",O,QB,NA,Inactive: Coach's Decision or Not on Roster,0,https://sports.yahoo.com/nfl/players/6169,,,,
