,season,round,pick,team,gsis_id,position
0,1998,1,1,IND,00-0010346,QB
8,1998,1,9,JAX,00-0016098,RB
20,1998,1,21,MIN,00-0011754,WR
59,1998,2,60,DET,00-0000865,QB
186,1998,6,187,GNB,00-0007091,QB
245,1999,1,5,NOR,00-0017915,RB
345,1999,4,105,BAL,00-0015754,WR
453,1999,7,213,GNB,00-0004541,WR
500,2000,1,7,ARI,00-0019641,RB
501,2000,1,8,PIT,00-0019642,WR
510,2000,1,17,OAK,00-0019646,K
568,2000,3,75,BAL,00-0019709,QB
649,2000,5,156,BUF,00-0019484,RB
692,2000,6,199,NWE,00-0019596,QB
752,2001,1,5,SDG,00-0020536,RB
763,2001,1,16,NYJ,00-0020494,WR
777,2001,1,30,IND,00-0020498,WR
778,2001,1,31,BAL,00-0020516,TE
779,2001,2,32,SDG,00-0020531,QB
783,2001,2,36,CIN,00-0020397,WR
821,2001,3,74,CAR,00-0020337,WR
868,2001,4,121,PHI,00-0020270,RB
994,2002,1,1,HOU,00-0020608,QB
1026,2002,2,33,HOU,00-0021163,WR
1044,2002,2,51,DEN,00-0021179,RB
1047,2002,2,54,SEA,00-0021182,RB
1049,2002,2,56,WAS,00-0021184,RB
1058,2002,2,65,NWE,00-0021192,WR
1074,2002,3,81,ARI,00-0021206,QB
1084,2002,3,91,PHI,00-0021216,RB
1101,2002,4,108,JAX,00-0021231,QB
1107,2002,4,114,MIA,00-0021236,TE
1200,2002,6,207,BAL,00-0021314,RB
1255,2003,1,1,CIN,00-0021429,QB
1257,2003,1,3,HOU,00-0022044,WR
1261,2003,1,7,JAX,00-0022177,QB
1276,2003,1,22,CHI,00-0022121,QB
1277,2003,1,23,BUF,00-0022178,RB
1278,2003,1,24,IND,00-0022165,TE
1308,2003,2,54,ARI,00-0022084,WR
1323,2003,3,69,DAL,00-0022127,TE
1325,2003,3,71,MIN,00-0021999,WR
1345,2003,3,91,NYG,00-0022054,TE
1364,2003,4,110,SEA,00-0022055,QB
1378,2003,4,124,SFO,00-0022097,WR
1509,2003,7,255,NYG,00-0021931,WR
1517,2004,1,1,SDG,00-0022803,QB
1519,2004,1,3,ARI,00-0022921,WR
1520,2004,1,4,NYG,00-0022942,QB
1522,2004,1,6,CLE,00-0022922,TE
1527,2004,1,11,PIT,00-0022924,QB
1540,2004,1,24,STL,00-0022736,RB
1545,2004,1,29,ATL,00-0022781,WR
1548,2004,1,32,NWE,00-0022943,TE
1559,2004,2,43,DAL,00-0022840,RB
1566,2004,2,50,NOR,00-0022929,WR
1597,2004,3,81,WAS,00-0022738,TE
1606,2004,3,90,ATL,00-0022787,QB
1624,2004,4,108,NYJ,00-0022811,WR
1635,2004,4,119,MIN,00-0022217,RB
1670,2004,5,154,SDG,00-0022821,RB
1751,2004,7,235,NYJ,00-0022770,RB
1772,2005,1,1,SFO,00-0023436,QB
1773,2005,1,2,MIA,00-0023437,RB
1774,2005,1,3,CLE,00-0023438,WR
1775,2005,1,4,CHI,00-0023439,RB
1795,2005,1,24,GNB,00-0023459,QB
1796,2005,1,25,WAS,00-0023460,QB
1798,2005,1,27,ATL,00-0023462,WR
1801,2005,1,30,PIT,00-0023465,TE
1818,2005,2,47,NYJ,00-0023482,K
1832,2005,2,61,SDG,00-0023496,WR
1836,2005,3,65,SFO,00-0023500,RB
1877,2005,4,106,CHI,00-0023541,QB
1881,2005,4,110,NYG,00-0023545,RB
1901,2005,4,130,SDG,00-0023564,RB
1916,2005,5,145,DET,00-0023578,QB
1969,2005,6,198,NYJ,00-0023630,TE
1984,2005,6,213,BAL,00-0023645,QB
2001,2005,7,230,NWE,00-0023662,QB
2021,2005,7,250,STL,00-0023682,QB
2028,2006,1,2,NOR,00-0024217,RB
2029,2006,1,3,TEN,00-0024218,QB
2032,2006,1,6,SFO,00-0024221,TE
2036,2006,1,10,ARI,00-0024225,QB
2037,2006,1,11,DEN,00-0024226,QB
2047,2006,1,21,NWE,00-0024236,RB
2051,2006,1,25,PIT,00-0024240,WR
2053,2006,1,27,CAR,00-0024242,RB
2054,2006,1,28,JAX,00-0024243,TE
2056,2006,1,30,IND,00-0024245,RB
2075,2006,2,49,NYJ,00-0024264,QB
2078,2006,2,52,GNB,00-0024267,WR
2079,2006,2,53,DAL,00-0024268,TE
2086,2006,2,60,JAX,00-0024275,RB
2087,2006,2,61,DEN,00-0024276,TE
2090,2006,2,64,MIN,00-0024279,QB
2105,2006,3,79,ATL,00-0024294,RB
2107,2006,3,81,SDG,00-0024296,QB
2124,2006,4,98,HOU,00-0024313,TE
2129,2006,4,103,NYJ,00-0024318,QB
2135,2006,4,109,PHI,00-0024324,WR
2143,2006,4,117,NYJ,00-0024332,RB
2144,2006,4,118,NWE,00-0024333,K
2145,2006,4,119,DEN,00-0024334,WR
2156,2006,4,130,DEN,00-0024345,WR
2171,2006,5,145,CLE,00-0024359,RB
2181,2006,5,155,CAR,00-0024369,TE
2201,2006,6,175,SFO,00-0024389,WR
2220,2006,6,194,TAM,00-0024408,QB
2259,2006,7,233,MIA,00-0024447,WR
2275,2006,7,249,SEA,00-0024463,WR
2278,2006,7,252,NOR,00-0024466,WR
2283,2007,1,2,DET,00-0025389,WR
2288,2007,1,7,MIN,00-0025394,RB
2290,2007,1,9,MIA,00-0025396,WR
2293,2007,1,12,BUF,00-0025399,RB
2303,2007,1,22,CLE,00-0025409,QB
2304,2007,1,23,KAN,00-0025410,WR
2308,2007,1,27,NOR,00-0025414,WR
2312,2007,1,31,CHI,00-0025418,TE
2317,2007,2,36,PHI,00-0025423,QB
2319,2007,2,38,OAK,00-0025425,TE
2324,2007,2,43,DET,00-0025430,QB
2325,2007,2,44,MIN,00-0025431,WR
2332,2007,2,51,NYG,00-0025438,WR
2333,2007,2,52,STL,00-0025439,RB
2344,2007,2,63,GNB,00-0025450,RB
2352,2007,3,71,MIA,00-0025458,RB
