,mfl_id,sportradar_id,fantasypros_id,gsis_id,pff_id,sleeper_id,nfl_id,espn_id,yahoo_id,fleaflicker_id,cbs_id,pfr_id,cfbref_id,rotowire_id,rotoworld_id,ktc_id,stats_id,stats_global_id,fantasy_data_id,swish_id,name,merge_name,position,team,birthdate,age,draft_year,draft_round,draft_pick,draft_ovr,twitter_username,height,weight,college,db_season,cleaned_name,match_key,mapped_ids
10641,1044,,,,,,,,,,,,,,,,,0.0,,,Aaron Brooks,aaron brooks,QB,NOS,,,1982.0,6.0,,,,76.0,250.0,Washington State,2025,Aaron Brooks,Aaron Brooks_<NA>,
9123,3995,,,,,,,,,,133233.0,BrooAa00,aaron-brooks-1,1570.0,1055.0,,4781.0,0.0,,,Aaron Brooks,aaron brooks,QB,FA,1976-03-24,45.1,1999.0,4.0,36.0,131.0,,76.0,220.0,Virginia,2025,Aaron Brooks,Aaron Brooks_4781,4781.0
10390,6036,,,,,,,,,,,,,,,,,0.0,,,Adrian Murrell,adrian murrell,RB,FA,,,1990.0,5.0,28.0,,,,,Southern California,2025,Adrian Murrell,Adrian Murrell_<NA>,
9996,1509,,,,,,,,,,,MurrAd00,adrian-murrell-1,453.0,,,,0.0,,,Adrian Murrell,adrian murrell,RB,FA,1970-10-16,50.6,1993.0,5.0,8.0,120.0,,71.0,214.0,West Virginia,2025,Adrian Murrell,Adrian Murrell_<NA>,
8496,6707,,,00-0021306,1177.0,,27332.0,3776.0,,,302105.0,PeteAd00,,2629.0,2491.0,,6134.0,0.0,,,Adrian Peterson,adrian peterson,XX,FA,1979-07-01,41.9,2002.0,6.0,27.0,199.0,,70.0,210.0,Georgia Southern,2025,Adrian Peterson,Adrian Peterson_6134,6134.0
6945,8658,ab58c0ac-a747-47e6-9b3c-505e41d2bd3d,9006.0,00-0025394,3623.0,184.0,2507164.0,10452.0,8261.0,,517568.0,PeteAd01,adrian-peterson-1,5215.0,4169.0,,8261.0,267443.0,4807.0,267443.0,Adrian Peterson,adrian peterson,RB,FA,1985-03-21,39.9,2007.0,1.0,7.0,7.0,AdrianPeterson,73.0,220.0,Oklahoma,2025,Adrian Peterson,Adrian Peterson_8261,8261.0
12081,350,,,,,,,,,,,,,,,,,,,,Alex Bannister,alex bannister,WR,SEA,,,,,,,,,,,2025,Alex Bannister,Alex Bannister_<NA>,
8678,5049,,,,,,,,,,235018.0,BannAl00,,2367.0,523.0,,5588.0,0.0,,,Alex Bannister,alex bannister,WR,FA,1979-04-23,42.0,2001.0,5.0,9.0,140.0,,77.0,207.0,Eastern Kentucky,2025,Alex Bannister,Alex Bannister_5588,5588.0
7583,7813,2fda010a-8c62-4c07-b601-4ba03f57e6af,9012.0,00-0023436,2218.0,268.0,2506340.0,8416.0,7177.0,,552642.0,SmitAl03,alex-smith-3,4306.0,3119.0,,7177.0,217357.0,6739.0,,Alex Smith,alex smith,QB,FA,1984-05-07,37.8,2005.0,1.0,1.0,1.0,,76.0,213.0,Utah,2025,Alex Smith,Alex Smith_7177,7177.0
7644,7883,55a668a4-8ce1-464b-a686-47eac2e9b9a5,,00-0023506,2288.0,661.0,2506410.0,8485.0,7247.0,3412.0,421093.0,SmitAl02,alex-smith-2,4431.0,3147.0,,7247.0,144740.0,11751.0,,Alex Smith,alex smith,TE,WAS,1982-05-22,39.0,2005.0,3.0,7.0,71.0,,76.0,250.0,Stanford,2025,Alex Smith,Alex Smith_7247,7247.0
9304,3368,,,,,,,,,,,MayeAl00,alonzo-mayes-1,931.0,,,,0.0,,,Alonzo Mayes,alonzo mayes,TE,FA,1975-06-04,45.9,1998.0,4.0,2.0,94.0,,76.0,259.0,Oklahoma State,2025,Alonzo Mayes,Alonzo Mayes_<NA>,
9216,5388,,,,,,,,,,,,,1636.0,,,,0.0,,,Alonzo Mayes,alonzo mayes,TE,MIA,,,1999.0,,,,,,,,2025,Alonzo Mayes,Alonzo Mayes_<NA>,
9389,3732,,,,,,,,,,12674.0,,,3462.0,1911.0,,4428.0,24547.0,,,Alvin Harper,alvin harper,WR,FA,1976-06-19,44.9,1998.0,7.0,10.0,,,79.0,302.0,San Diego State,2025,Alvin Harper,Alvin Harper_4428,4428.0
10219,1279,,,,,,,,,,,HarpAl00,alvin-harper-1,643.0,,,,0.0,,,Alvin Harper,alvin harper,WR,FA,,,1991.0,1.0,12.0,12.0,,75.0,208.0,Tennessee,2025,Alvin Harper,Alvin Harper_<NA>,
9092,3959,,,,,,,,,,,ZereAm00,amos-zereoue-1,1198.0,,,,0.0,,,Amos Zereoue,amos zereoue,RB,FA,1976-10-08,44.6,1999.0,3.0,34.0,95.0,zereoue,68.0,200.0,West Virginia,2025,Amos Zereoue,Amos Zereoue_<NA>,
