,mfl_id,sportradar_id,fantasypros_id,gsis_id,pff_id,sleeper_id,nfl_id,espn_id,yahoo_id,fleaflicker_id,cbs_id,pfr_id,cfbref_id,rotowire_id,rotoworld_id,ktc_id,stats_id,stats_global_id,fantasy_data_id,swish_id,name,merge_name,position,team,birthdate,age,draft_year,draft_round,draft_pick,draft_ovr,twitter_username,height,weight,college,db_season,cleaned_name,match_key,mapped_ids
35,17065,,,,,,,,,,,,,,,,,0.0,,,Henry Parrish,henry parrish,RB,FA,,,2025.0,,,,,70.0,185.0,Mississippi,2025,Henry Parrish,Henry Parrish_<NA>,
37,17067,,,,,,,,,,,,,,,,,0.0,,,John Emery,john emery,RB,FA,,,2025.0,,,,,72.0,220.0,LSU,2025,John Emery,John Emery_<NA>,
59,17089,483872b0-2630-11f0-b7f1-df7c830143e7,27218.0,,,12460.0,,,,,,,,18559.0,,,,0.0,26081.0,,Antwane Wells,antwane wells,WR,NYG,2001-04-02,24.5,2025.0,,,,,72.0,205.0,Ole Miss,2025,Antwane Wells,Antwane Wells_<NA>,
64,17094,,,,,,,,,,,,,18456.0,,,,0.0,,,Kyren Lacy,kyren lacy,XX,FA,,,2025.0,,,,,74.0,213.0,LSU,2025,Kyren Lacy,Kyren Lacy_<NA>,
80,17110,,,,,11594.0,,,,,2965087.0,,,18541.0,,,,0.0,,,Brant Kuithe,brant kuithe,TE,FA,,,2025.0,,,,,74.0,236.0,Utah,2025,Brant Kuithe,Brant Kuithe_<NA>,
141,17171,1e95c7fc-ecf7-4fcb-82d8-d77e2b6872d5,27315.0,00-0040705,129918.0,12540.0,58308.0,4431268.0,,,3162452.0,DikeCh00,,18641.0,,1814.0,,0.0,25987.0,,Chimere Dike,chimere dike,WR,TEN,2001-12-14,23.8,2025.0,4.0,1.0,103.0,,73.0,196.0,Florida,2025,Chimere Dike,Chimere Dike_<NA>,
245,17277,7bf5a2e0-2512-11f0-9825-33176da47896,27261.0,00-0040279,99867.0,12961.0,58715.0,4568263.0,,,,FitzRy01,,18508.0,,,,0.0,26108.0,,Ryan Fitzgerald,ryan fitzgerald,PK,CAR,2000-08-13,25.2,2025.0,,,,,71.0,193.0,Florida State,2025,Ryan Fitzgerald,Ryan Fitzgerald_<NA>,
344,17396,,,00-0040534,123406.0,,58980.0,4570738.0,,,,WillKe08,,18841.0,,,,0.0,,,Ke'Shawn Williams,keshawn williams,WR,PIT,2001-12-27,23.8,2025.0,,,,,,,,2025,KeShawn Williams,KeShawn Williams_<NA>,
370,16602,,,,,11578.0,,,,,3169578.0,,,17857.0,,,,0.0,,,Miyan Williams,miyan williams,RB,FA,,,2024.0,,,,,69.0,226.0,Ohio State,2025,Miyan Williams,Miyan Williams_<NA>,
402,16634,ffd59710-0582-11ef-823c-c3942ac17525,23957.0,00-0039521,101130.0,11921.0,57639.0,4428811.0,41202.0,,3131562.0,WeavXa00,,18041.0,,,,0.0,25032.0,1180538.0,Xavier Weaver,xavier weaver,WR,ARI,2000-10-12,25.0,2024.0,,,,,73.0,185.0,Colorado,2025,Xavier Weaver,Xavier Weaver_<NA>,
406,16638,,,,,,,4427225.0,,,,,,17006.0,,,,0.0,,,Zakhari Franklin,zakhari franklin,WR,FA,,,2024.0,,,,,,,Mississippi,2025,Zakhari Franklin,Zakhari Franklin_<NA>,
741,16195,ea3d1393-8c3b-4e81-a519-f636d28d692e,24354.0,00-0038393,99711.0,9486.0,56024.0,4428850.0,40201.0,,3122375.0,WickDo00,dontayvion-wicks-1,16658.0,,1448.0,,0.0,23253.0,1172428.0,Dontayvion Wicks,dontayvion wicks,WR,GBP,2001-06-16,24.3,2023.0,5.0,24.0,159.0,,73.0,206.0,Virginia,2025,Dontayvion Wicks,Dontayvion Wicks_<NA>,
766,16220,5d4a5e4f-7c74-4b4c-b8e5-33bb831e3057,23821.0,00-0038394,77888.0,10220.0,56027.0,4362523.0,40180.0,,2962073.0,MallWi00,will-mallory-1,17014.0,,,,0.0,23143.0,1121873.0,Will Mallory,will mallory,TE,IND,1999-06-22,26.3,2023.0,5.0,27.0,162.0,,76.0,239.0,Miami (FL),2025,Will Mallory,Will Mallory_<NA>,
1084,15700,,,,,8216.0,,,,,2966363.0,,,15970.0,,,,0.0,,,Kaleb Eleby,kaleb eleby,QB,FA,2000-03-13,23.0,2022.0,,,,,73.0,208.0,Western Michigan,2025,Kaleb Eleby,Kaleb Eleby_<NA>,
1115,15732,,,,,,,,,,,,,15985.0,,,,0.0,,,LD Brown,ld brown,RB,FA,1997-10-18,25.4,2022.0,,,,,,,Oklahoma State,2025,LD Brown,LD Brown_<NA>,
1120,15737,,,,,,,,,,,,,16252.0,,,,0.0,,,Stephen Carr,stephen carr,RB,FA,,,2022.0,,,,,,,Indiana,2025,Stephen Carr,Stephen Carr_<NA>,
1124,15741,,,,,,,,,,2865430.0,,,16339.0,,,,0.0,,,Calvin Turner Jr.,calvin turner,RB,FA,1999-07-06,23.6,2022.0,,,,,,,Hawaii,2025,Calvin Turner,Calvin Turner_<NA>,
1495,15247,,,,,,,,,,,,,15420.0,,,,0.0,,,Brady White,brady white,QB,FA,,,2021.0,,,,,,,Memphis,2025,Brady White,Brady White_<NA>,
1497,15249,,,,,,,,,,,,,15424.0,,,,0.0,,,Peyton Ramsey,peyton ramsey,QB,FA,,,2021.0,,,,,,,Northwestern,2025,Peyton Ramsey,Peyton Ramsey_<NA>,
1526,15278,,,,,,,,,,,,,,,,,0.0,,,Gregory McRae,gregory mcrae,RB,FA,,,2021.0,,,,,,,Central Florida,2025,Gregory McRae,Gregory McRae_<NA>,
1528,15280,,,,,,,,,,,,,,,,,0.0,,,Shane Simpson,shane simpson,RB,FA,,,2021.0,,,,,,,Virginia,2025,Shane Simpson,Shane Simpson_<NA>,
1547,15299,,,,,,,,,,,,,15201.0,,,,0.0,,,Damonte Coxie,damonte coxie,WR,FA,,,2021.0,,,,,,,Memphis,2025,Damonte Coxie,Damonte Coxie_<NA>,
1558,15310,,,,,,,,,,,,,15279.0,,,,0.0,,,Marlon Williams,marlon williams,WR,FA,,,2021.0,,,,,,,Central Florida,2025,Marlon Williams,Marlon Williams_<NA>,
1812,15677,7656034d-8647-49e5-b0d4-b708423042ee,23339.0,00-0036696,,7903.0,,,33837.0,,2247169.0,,,15561.0,,,,0.0,,921082.0,Briley Moore-McKinney,briley moore-mckinney,TE,FA,1998-01-13,24.1,2021.0,,,,,76.0,250.0,Kansas State,2025,Briley Moore-McKinney,Briley Moore-McKinney_<NA>,
1843,14791,,,,,7102.0,,,,,,,,14786.0,,,,0.0,21821.0,,Mason Fine,mason fine,QB,FA,1997-04-19,28.5,2020.0,,,,,,190.0,North Texas,2025,Mason Fine,Mason Fine_<NA>,
1847,14795,,,,,7110.0,,,,,2179210.0,,,14528.0,,,,0.0,21972.0,,Kelly Bryant,kelly bryant,QB,FA,1996-09-25,29.1,2020.0,,,,,,229.0,Missouri,2025,Kelly Bryant,Kelly Bryant_<NA>,
1874,14822,,,,,6978.0,,,,,,,,14440.0,,,,0.0,21805.0,,Reggie Corbin,reggie corbin,RB,FA,,,2020.0,,,,,,201.0,Illinois,2025,Reggie Corbin,Reggie Corbin_<NA>,
1877,14825,,,,,,,,,,,,,,,,,0.0,,,Jordan Conkrite,jordan conkrite,RB,FA,,,2020.0,,,,,,,South Florida,2025,Jordan Conkrite,Jordan Conkrite_<NA>,
2271,14091,,,,,,,,,,,,,,,,,0.0,,,Tre Watson,tre watson,RB,FA,,,2019.0,,,,,71.0,195.0,Texas,2025,Tre Watson,Tre Watson_<NA>,
2313,14133,,,,,,,,,,,,,13606.0,,,,0.0,,,Ron'Quavion Tarver,ronquavion tarver,WR,FA,,,2019.0,,,,,,,Utah State,2025,RonQuavion Tarver,RonQuavion Tarver_<NA>,
2367,14187,,,,,,,,,,2962027.0,,,13825.0,,,,0.0,,,Cole Tracy,cole tracy,PK,FA,,,2019.0,,,,,,,LSU,2025,Cole Tracy,Cole Tracy_<NA>,
2679,16859,,,,,,,,,,2180626.0,,,,,,,0.0,,,Tyron Billy-Johnson,tyron billy-johnson,XX,FA,1996-01-08,29.1,2019.0,,,,,73.0,193.0,Oklahoma State,2025,Tyron Billy-Johnson,Tyron Billy-Johnson_<NA>,
2691,13597,1278e608-651d-42ee-931d-6e846bcb87dd,,,,5270.0,,3044719.0,,,,,,12647.0,13414.0,,,0.0,20317.0,,Riley Ferguson,riley ferguson,QB,FA,1995-01-19,30.7,2018.0,,,,,76.0,210.0,Memphis,2025,Riley Ferguson,Riley Ferguson_<NA>,
2721,13627,,,,,,,,,,,,,,,,,0.0,,,Nick Wilson,nick wilson,RB,FA,,,2018.0,,,,,,,Arizona,2025,Nick Wilson,Nick Wilson_<NA>,
2737,13643,1dea7b00-f200-470f-8912-ca9d87ceb7e2,,00-0034068,28580.0,5164.0,46326.0,3128251.0,31397.0,,2924881.0,CobbSi00,,12480.0,13386.0,,,0.0,20107.0,,Simmie Cobbs,simmie cobbs,WR,FA,1995-08-25,30.1,2018.0,,,,,75.0,220.0,Indiana,2025,Simmie Cobbs,Simmie Cobbs_<NA>,
2771,13677,,,,,,,,,,,,,12859.0,,,,0.0,,,Adam Breneman,adam breneman,TE,FA,,,2018.0,,,,,,,Massachusetts,2025,Adam Breneman,Adam Breneman_<NA>,
