,player_id,player_name,sacks_suffered,season,attempts,passing_air_yards,carries,rushing_yards,receptions,receiving_yards,fg_att,pat_att,fg_made_distance,fg_missed_distance
1,00-0000003,A.al-Jabbar,0,1999,0,0,143,445,17,84,0,0,0,0
2,00-0000007,R.Abdullah,0,1999,0,0,5,12,2,11,0,0,0,0
12,00-0000104,T.Aikman,19,1999,441,185,21,10,0,0,0,0,0,0
13,00-0000108,D.Akers,0,1999,0,0,0,0,0,0,5,6,147,110
19,00-0000145,D.Alexander,0,1999,0,0,2,82,54,832,0,0,0,0
21,00-0000166,S.Alexander,0,1999,0,0,0,0,29,324,0,0,0,0
22,00-0000172,B.Alford,0,1999,0,0,0,0,1,7,0,0,0,0
24,00-0000210,J.Allen,0,1999,0,0,32,119,9,91,0,0,0,0
27,00-0000232,T.Allen,0,1999,0,0,254,896,14,125,0,0,0,0
28,00-0000242,J.Allred,0,1999,0,0,0,0,13,102,0,0,0,0
29,00-0000251,M.Alstott,0,1999,0,0,242,949,27,239,0,0,0,0
31,00-0000279,K.Anders,0,1999,0,0,32,181,2,14,0,0,0,0
32,00-0000282,M.Andersen,0,1999,0,0,0,0,0,0,21,34,503,203
33,00-0000313,G.Anderson,0,1999,0,0,0,0,0,0,30,46,626,339
34,00-0000316,J.Anderson,0,1999,0,0,19,59,2,34,0,0,0,0
35,00-0000339,R.Anderson,0,1999,0,0,16,84,29,302,0,0,0,0
37,00-0000387,R.Anthony,0,1999,0,0,1,2,30,296,0,0,0,0
40,00-0000422,J.Armour,0,1999,0,0,0,0,33,462,0,0,0,0
50,00-0000541,J.Avery,0,1999,0,0,5,21,4,24,0,0,0,0
51,00-0000552,O.Ayanbadejo,0,1999,0,0,0,0,1,2,0,0,0,0
56,00-0000627,E.Baker,0,1999,0,0,0,0,7,118,0,0,0,0
57,00-0000634,J.Baker,0,1999,0,0,0,0,0,0,0,0,0,0
61,00-0000721,T.Banks,0,1999,0,0,23,82,14,137,0,0,0,0
62,00-0000722,T.Banks,33,1999,320,55,24,93,0,0,0,0,0,0
64,00-0000727,B.Banta,0,1999,0,0,0,0,0,0,0,0,0,0
68,00-0000745,T.Barber,0,1999,0,0,62,258,66,609,0,0,0,0
71,00-0000765,R.Barlow,0,1999,0,0,0,0,16,202,0,0,0,0
77,00-0000849,M.Bartrum,0,1999,0,0,0,0,1,1,0,0,0,0
78,00-0000856,M.Basnight,0,1999,0,0,62,308,16,172,0,0,0,0
80,00-0000865,C.Batch,36,1999,269,202,28,87,0,0,0,0,0,0
81,00-0000869,D.Bates,0,1999,0,0,0,0,2,19,0,0,0,0
82,00-0000871,M.Bates,0,1999,0,0,72,202,5,34,0,0,0,0
83,00-0000872,M.Bates,0,1999,0,0,3,12,1,2,0,0,0,0
84,00-0000883,M.Battaglia,0,1999,0,0,0,0,14,153,0,0,0,0
85,00-0000911,F.Baxter,0,1999,0,0,0,0,8,66,0,0,0,0
87,00-0000942,F.Beasley,0,1999,0,0,58,276,32,282,0,0,0,0
88,00-0000969,B.Bech,0,1999,0,0,0,0,4,65,0,0,0,0
89,00-0001027,S.Bell,0,1999,0,0,0,0,0,0,0,0,0,0
96,00-0001102,D.Bennett,0,1999,0,0,161,627,10,41,0,0,0,0
97,00-0001103,E.Bennett,0,1999,0,0,6,28,14,116,0,0,0,0
98,00-0001112,S.Bennett,0,1999,0,0,29,126,4,27,0,0,0,0
100,00-0001138,S.Bentley,0,1999,0,0,0,0,0,0,0,0,0,0
103,00-0001215,J.Bettis,0,1999,1,0,299,1091,21,110,0,0,0,0
104,00-0001218,S.Beuerlein,50,1999,569,394,27,124,0,0,0,0,0,0
105,00-0001222,E.Beverly,0,1999,0,0,0,0,0,0,0,0,0,0
106,00-0001224,T.Biakabutuka,0,1999,0,0,138,718,23,189,0,0,0,0
108,00-0001233,E.Bieniemy,0,1999,0,0,12,75,2,28,0,0,0,0
113,00-0001281,E.Bjornson,0,1999,0,0,1,20,10,131,0,0,0,0
116,00-0001317,W.Blackwell,0,1999,0,0,0,0,20,186,0,0,0,0
118,00-0001335,J.Blake,30,1999,389,163,63,332,0,0,0,0,0,0
119,00-0001343,C.Blanchard,0,1999,0,0,0,0,0,0,21,19,622,115
120,00-0001361,D.Bledsoe,55,1999,537,319,42,101,0,0,0,0,0,0
127,00-0001460,C.Boniol,0,1999,0,0,0,0,0,0,18,18,354,265
128,00-0001471,S.Bono,0,1999,1,0,2,-2,0,0,0,0,0,0
129,00-0001477,M.Booker,0,1999,0,0,1,8,19,219,0,0,0,0
135,00-0001525,J.Bostic,0,1999,0,0,5,19,5,8,0,0,0,0
137,00-0001532,D.Boston,0,1999,0,0,5,0,40,473,0,0,0,0
143,00-0001573,L.Bowie,0,1999,0,0,0,0,0,0,0,0,0,0
144,00-0001582,F.Bownes,0,1999,0,0,1,-14,4,68,0,0,0,0
148,00-0001627,C.Bradford,0,1999,0,0,0,0,37,637,0,0,0,0
151,00-0001661,K.Brady,0,1999,0,0,0,0,32,346,0,0,0,0
157,00-0001719,C.Brazzell,0,1999,0,0,0,0,5,114,0,0,0,0
159,00-0001759,D.Brien,0,1999,0,0,0,0,0,0,29,21,850,187
161,00-0001766,J.Brigham,0,1999,0,0,0,0,8,108,0,0,0,0
162,00-0001783,V.Brisby,0,1999,0,0,0,0,18,266,0,0,0,0
163,00-0001785,B.Brister,0,1999,20,62,2,17,0,0,0,0,0,0
171,00-0001842,M.Brooks,0,1999,0,0,1,7,14,160,0,0,0,0
172,00-0001862,L.Broughton,0,1999,0,0,0,0,26,295,0,0,0,0
178,00-0001907,D.Brown,18,1999,169,96,13,49,0,0,0,0,0,0
179,00-0001919,D.Brown,0,1999,0,0,0,0,0,0,0,0,0,0
184,00-0001938,G.Brown,0,1999,0,0,55,177,2,2,0,0,0,0
188,00-0001980,K.Brown,0,1999,0,0,0,0,0,0,29,31,884,121
190,00-0001986,L.Brown,0,1999,0,0,0,0,0,0,0,0,0,0
192,00-0002005,N.Brown,0,1999,0,0,0,0,18,188,0,0,0,0
196,00-0002027,R.Brown,0,1999,0,0,14,38,34,228,0,0,0,0
198,00-0002058,T.Brown,0,1999,0,0,1,4,90,1344,0,0,0,0
199,00-0002068,T.Brown,0,1999,1,0,0,0,36,471,0,0,0,0
200,00-0002099,I.Bruce,0,1999,0,0,5,32,69,1073,0,0,0,0
201,00-0002102,M.Bruener,0,1999,0,0,0,0,18,176,0,0,0,0
202,00-0002110,M.Brunell,29,1999,441,151,47,208,0,0,0,0,0,0
222,00-0002380,S.Bush,0,1999,0,0,0,0,1,4,0,0,0,0
224,00-0002459,K.Bynum,0,1999,0,0,92,287,16,209,0,0,0,0
225,00-0002469,I.Byrd,0,1999,0,0,0,0,14,261,0,0,0,0
228,00-0002544,C.Calloway,0,1999,0,0,0,0,22,314,0,0,0,0
229,00-0002565,D.Campbell,0,1999,0,0,0,0,0,0,0,0,0,0
231,00-0002586,M.Campbell,0,1999,0,0,0,0,9,131,0,0,0,0
235,00-0002655,J.Carney,0,1999,0,0,0,0,0,0,36,23,1008,171
239,00-0002701,R.Carruth,0,1999,0,0,1,4,14,200,0,0,0,0
241,00-0002713,T.Carter,0,1999,0,0,6,26,20,108,0,0,0,0
243,00-0002721,C.Carter,0,1999,0,0,0,0,90,1241,0,0,0,0
246,00-0002743,K.Carter,0,1999,0,0,6,15,3,24,0,0,0,0
251,00-0002787,S.Case,17,1999,169,121,36,141,0,0,0,0,0,0
252,00-0002846,L.Centers,0,1999,0,0,13,51,69,544,0,0,0,0
253,00-0002861,B.Chamberlain,0,1999,0,0,0,0,32,488,0,0,0,0
255,00-0002873,R.Chancey,0,1999,0,0,14,57,0,0,0,0,0,0
256,00-0002876,C.Chandler,32,1999,306,182,16,57,0,0,0,0,0,0
261,00-0002942,D.Chiaverini,0,1999,0,0,0,0,44,487,0,0,0,0
263,00-0002958,M.Chmura,0,1999,0,0,0,0,5,55,0,0,0,0
264,00-0002962,W.Chrebet,0,1999,0,0,0,0,48,631,0,0,0,0
265,00-0002970,B.Christian,0,1999,0,0,38,174,40,354,0,0,0,0
266,00-0002975,S.Christie,0,1999,0,0,0,0,0,0,34,33,822,381
268,00-0002985,P.Chryplewicz,0,1999,0,0,0,0,2,18,0,0,0,0
270,00-0003035,D.Clark,0,1999,0,0,0,0,1,5,0,0,0,0
271,00-0003039,G.Clark,0,1999,0,0,0,0,34,347,0,0,0,0
274,00-0003103,C.Cleeland,0,1999,0,0,0,0,26,325,0,0,0,0
278,00-0003128,T.Cline,0,1999,0,0,0,0,4,45,0,0,0,0
279,00-0003136,M.Cloud,0,1999,0,0,35,128,3,25,0,0,0,0
282,00-0003142,B.Coates,0,1999,0,0,0,0,32,370,0,0,0,0
284,00-0003175,M.Cody,0,1999,0,0,0,0,6,60,0,0,0,0
292,00-0003266,B.Collins,0,1999,0,0,0,0,9,124,0,0,0,0
294,00-0003271,C.Collins,0,1999,0,0,131,414,6,32,0,0,0,0
295,00-0003292,K.Collins,16,1999,331,89,19,36,0,0,0,0,0,0
297,00-0003310,R.Collins,0,1999,0,0,0,0,4,62,0,0,0,0
302,00-0003344,G.Comella,0,1999,0,0,1,0,8,39,0,0,0,0
304,00-0003378,A.Connell,0,1999,0,0,1,8,62,1132,0,0,0,0
305,00-0003395,B.Conway,0,1999,1,0,0,0,0,0,32,50,790,352
306,00-0003396,C.Conway,0,1999,0,0,1,-2,44,426,0,0,0,0
307,00-0003400,E.Conwell,0,1999,0,0,0,0,1,11,0,0,0,0
310,00-0003441,A.Cooper,0,1999,0,0,0,0,9,98,0,0,0,0
312,00-0003501,J.Cortez,0,1999,0,0,0,0,0,0,0,0,0,0
316,00-0003535,T.Couch,56,1999,397,257,40,267,0,0,0,0,0,0
318,00-0003557,S.Covington,0,1999,5,0,2,-4,0,0,0,0,0,0
322,00-0003610,A.Craver,0,1999,0,0,17,40,19,154,0,0,0,0
327,00-0003663,Z.Crockett,0,1999,0,0,45,91,8,56,0,0,0,0
328,00-0003681,H.Cross,0,1999,0,0,0,0,9,55,0,0,0,0
329,00-0003700,G.Crowell,0,1999,0,0,5,38,81,1338,0,0,0,0
330,00-0003715,C.Crumpler,0,1999,0,0,0,0,2,35,0,0,0,0
333,00-0003739,D.Culpepper,0,1999,0,0,3,6,0,0,0,0,0,0
335,00-0003761,R.Cunningham,15,1999,199,227,10,58,0,0,0,0,0,0
336,00-0003762,R.Cunningham,0,1999,0,0,0,0,0,0,24,37,493,378
339,00-0003803,M.Cushing,0,1999,0,0,0,0,2,29,0,0,0,0
343,00-0003841,B.Daluiso,0,1999,0,0,0,0,0,0,9,9,198,83
348,00-0003944,B.Davis,0,1999,0,0,0,0,6,121,0,0,0,0
351,00-0004004,J.Davis,0,1999,0,0,0,0,2,7,0,0,0,0
355,00-0004052,S.Davis,0,1999,0,0,290,1405,23,111,0,0,0,0
356,00-0004054,T.Davis,0,1999,0,0,67,211,3,26,0,0,0,0
358,00-0004060,T.Davis,0,1999,0,0,20,32,7,53,0,0,0,0
359,00-0004063,T.Davis,0,1999,0,0,0,0,20,204,0,0,0,0
361,00-0004071,Z.Davis,0,1999,0,0,0,0,2,38,0,0,0,0
363,00-0004077,S.Dawkins,0,1999,0,0,0,0,58,992,0,0,0,0
364,00-0004079,L.Dawsey,0,1999,0,0,0,0,16,196,0,0,0,0
366,00-0004091,P.Dawson,0,1999,0,0,1,4,0,0,12,24,290,167
367,00-0004112,J.Dearth,0,1999,0,0,0,0,0,0,0,0,0,0
369,00-0004147,A.Del Greco,0,1999,0,0,0,0,0,0,25,43,683,156
370,00-0004161,J.Delhomme,6,1999,76,58,11,72,0,0,0,0,0,0
372,00-0004172,G.DeLong,0,1999,0,0,0,0,12,47,0,0,0,0
374,00-0004200,A.Denson,0,1999,0,0,28,98,4,28,0,0,0,0
377,00-0004229,K.Detmer,0,1999,29,23,2,-2,0,0,0,0,0,0
378,00-0004230,T.Detmer,4,1999,91,16,6,38,0,0,0,0,0,0
386,00-0004293,T.Dilfer,26,1999,244,241,35,144,0,0,0,0,0,0
387,00-0004294,K.Dilger,0,1999,0,0,0,0,40,479,0,0,0,0
388,00-0004304,C.Dillon,0,1999,0,0,263,1200,31,290,0,0,0,0
